elective,Women3_x,Men3_x,Women3_y,Men3_y
CS4277,0.0,396.0,5804.0,28058.0
CS4284,252.0,1368.0,8706.0,42087.0
CS4322,72.0,540.0,2902.0,14029.0
CS4412,288.0,1872.0,8706.0,42087.0
CS4422,144.0,324.0,5804.0,28058.0
CS4504,36.0,324.0,8706.0,42087.0
CS4522,0.0,360.0,8706.0,42087.0
CS4524,144.0,576.0,8706.0,42087.0
CS4604,720.0,2736.0,8706.0,42087.0
CS4612,72.0,324.0,2902.0,14029.0
CS4622,108.0,468.0,8706.0,42087.0
CS4624,612.0,3528.0,8706.0,42087.0
CS4626,72.0,216.0,5804.0,28058.0
CS4644,612.0,972.0,8706.0,42087.0
CS4704,972.0,5220.0,8706.0,42087.0
CS4712,324.0,1836.0,8706.0,42087.0
CS4720,576.0,2484.0,5804.0,28058.0
CS4732,72.0,864.0,8706.0,42087.0
CS4742,0.0,288.0,5804.0,28058.0
CS4784,648.0,972.0,8706.0,42087.0
CS4804,144.0,1908.0,8706.0,42087.0
CS4824,0.0,0.0,0.0,0.0
CS4884,0.0,0.0,0.0,0.0
CSC301H5,231.0,1869.0,1107.0,5490.0
CSC309H5,357.0,2730.0,1107.0,5490.0
CSC311H5,546.0,3087.0,1107.0,5490.0
CSC324H5,525.0,2625.0,1107.0,5490.0
CSC338H5,210.0,840.0,1107.0,5490.0
CSC347H5,399.0,2604.0,1107.0,5490.0
CSC367H5,105.0,1071.0,1107.0,5490.0
CSC375H5,0.0,147.0,738.0,3660.0
CSC376H5,84.0,672.0,1107.0,5490.0
CSC384H5,189.0,1155.0,1107.0,5490.0
CSC413H5,180.0,1026.0,171.0,1044.0
CSC488H5,36.0,360.0,114.0,696.0
CSE1300,4356.0,11988.0,8706.0,42087.0
CSE3203,144.0,576.0,5804.0,28058.0
CSE4983,468.0,1296.0,8706.0,42087.0
CYBR3153,468.0,1764.0,8706.0,42087.0
CYBR3220,0.0,72.0,5804.0,28058.0
CYBR3223,252.0,720.0,8706.0,42087.0
CYBR3305,684.0,1404.0,8706.0,42087.0
CYBR4333,252.0,1332.0,8706.0,42087.0
CYBR4350,288.0,720.0,8706.0,42087.0
CYBR4833,324.0,1368.0,8706.0,42087.0
CYBR4843,504.0,1800.0,8706.0,42087.0
CYBR4853,540.0,1692.0,8706.0,42087.0
CYBR4883,72.0,540.0,8706.0,42087.0
CYBR4893,324.0,1224.0,8706.0,42087.0
IT3503,1008.0,1332.0,8706.0,42087.0
IT3703,288.0,504.0,8706.0,42087.0
IT4123,432.0,1836.0,2902.0,14029.0
IT4153,288.0,1224.0,8706.0,42087.0
IT4203,216.0,612.0,5804.0,28058.0
IT4213,36.0,252.0,2902.0,14029.0
IT4333,252.0,1692.0,8706.0,42087.0
IT4403,72.0,504.0,8706.0,42087.0
IT4423,864.0,3348.0,8706.0,42087.0
IT4513,72.0,72.0,2902.0,14029.0
IT4523,72.0,72.0,2902.0,14029.0
IT4533,72.0,36.0,2902.0,14029.0
IT4603,36.0,72.0,2902.0,14029.0
IT4733,144.0,72.0,5804.0,28058.0
IT4773,108.0,72.0,5804.0,28058.0
IT4793,36.0,0.0,2902.0,14029.0
IT4833,576.0,2412.0,8706.0,42087.0
IT4843,864.0,3060.0,8706.0,42087.0
IT4853,756.0,2700.0,8706.0,42087.0
IT4863,144.0,432.0,5804.0,28058.0
IT4883,468.0,2124.0,8706.0,42087.0
IT4893,144.0,396.0,8706.0,42087.0
Inf-CombWords,63.0,168.0,369.0,1830.0
Inf-DigSig,21.0,168.0,369.0,1830.0
Inf-GraphDraw,0.0,105.0,369.0,1830.0
Inf-NNDL,42.0,777.0,369.0,1830.0
Inf-NumProg,0.0,42.0,369.0,1830.0
SWE3683,0.0,108.0,2902.0,14029.0
SWE4633,216.0,1116.0,8706.0,42087.0
SWE4743,108.0,396.0,5804.0,28058.0
SWE4783,576.0,1764.0,8706.0,42087.0
SWE4803,0.0,36.0,2902.0,14029.0
WInf-eBeM,42.0,315.0,369.0,1830.0
cxinfr08010,0.0,0.0,0.0,0.0
cxinfr08020,0.0,0.0,0.0,0.0
cxinfr08033,0.0,0.0,0.0,0.0
cxinfr10052,63.0,297.0,1233.0,3816.0
cxinfr10054,81.0,99.0,822.0,2544.0
cxinfr10057,0.0,0.0,0.0,0.0
cxinfr10059,45.0,99.0,822.0,2544.0
cxinfr10061,9.0,63.0,411.0,1272.0
cxinfr10064,0.0,0.0,0.0,0.0
cxinfr10065,90.0,504.0,822.0,2544.0
cxinfr10074,342.0,1161.0,1233.0,3816.0
cxinfr10075,0.0,0.0,0.0,0.0
cxinfr10076,36.0,189.0,822.0,2544.0
