MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3,icy,cohort_id,icym,module_id
COMP4187,4,2020,0,12,,Durham_England,12,Durham_England42020,4,Durham_England42020COMP4187,69
COMP4197,4,2020,3,21,,Durham_England,24,Durham_England42020,4,Durham_England42020COMP4197,70
COMP4087,4,2021,3,12,,Durham_England,15,Durham_England42021,5,Durham_England42021COMP4087,71
COMP4097,4,2021,3,36,,Durham_England,39,Durham_England42021,5,Durham_England42021COMP4097,72
COMP4107,4,2021,6,42,,Durham_England,48,Durham_England42021,5,Durham_England42021COMP4107,73
COMP4117,4,2021,6,45,,Durham_England,51,Durham_England42021,5,Durham_England42021COMP4117,74
COMP4137,4,2021,6,45,,Durham_England,51,Durham_England42021,5,Durham_England42021COMP4137,75
COMP4157,4,2021,6,21,,Durham_England,27,Durham_England42021,5,Durham_England42021COMP4157,76
COMP4167,4,2021,9,54,,Durham_England,63,Durham_England42021,5,Durham_England42021COMP4167,77
COMP4177,4,2021,6,45,,Durham_England,51,Durham_England42021,5,Durham_England42021COMP4177,78
COMP4187,4,2021,0,18,,Durham_England,18,Durham_England42021,5,Durham_England42021COMP4187,79
COMP4197,4,2021,3,21,,Durham_England,24,Durham_England42021,5,Durham_England42021COMP4197,80
COMP4087,4,2022,0,9,,Durham_England,9,Durham_England42022,6,Durham_England42022COMP4087,81
COMP4097,4,2022,0,12,,Durham_England,12,Durham_England42022,6,Durham_England42022COMP4097,82
COMP4107,4,2022,3,12,,Durham_England,15,Durham_England42022,6,Durham_England42022COMP4107,83
COMP4117,4,2022,0,15,,Durham_England,15,Durham_England42022,6,Durham_England42022COMP4117,84
COMP4137,4,2022,0,15,,Durham_England,15,Durham_England42022,6,Durham_England42022COMP4137,85
COMP4157,4,2022,0,15,,Durham_England,15,Durham_England42022,6,Durham_England42022COMP4157,86
COMP4167,4,2022,3,21,,Durham_England,24,Durham_England42022,6,Durham_England42022COMP4167,87
COMP4177,4,2022,3,21,,Durham_England,24,Durham_England42022,6,Durham_England42022COMP4177,88
COMP4187,4,2022,0,3,,Durham_England,3,Durham_England42022,6,Durham_England42022COMP4187,89
COMP4197,4,2022,3,15,,Durham_England,18,Durham_England42022,6,Durham_England42022COMP4197,90
cxinfr09042,3/4/5/,2020,18,42,,Edinburgh_Scotland,60,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr09042,91
cxinfr10052,3/4/5/,2020,9,48,,Edinburgh_Scotland,57,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10052,92
cxinfr10057,3/4/5/,2020,39,87,,Edinburgh_Scotland,126,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10057,93
cxinfr10069,3/4/5/,2020,54,159,,Edinburgh_Scotland,213,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10069,94
cxinfr10074,3/4/5/,2020,36,126,,Edinburgh_Scotland,162,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10074,95
cxinfr10077,3/4/5/,2020,9,21,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10077,96
cxinfr10079,3/4/5/,2020,33,96,,Edinburgh_Scotland,129,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10079,97
cxinfr10080,3/4/5/,2020,54,120,,Edinburgh_Scotland,174,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr10080,98
cxinfr11017,3/4/5/,2020,18,63,,Edinburgh_Scotland,81,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11017,99
cxinfr11020,3/4/5/,2020,9,54,,Edinburgh_Scotland,63,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11020,100
cxinfr11033,3/4/5/,2020,3,9,,Edinburgh_Scotland,12,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11033,101
cxinfr11092,3/4/5/,2020,3,6,,Edinburgh_Scotland,9,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11092,102
cxinfr11099,3/4/5/,2020,3,27,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11099,103
cxinfr11130,3/4/5/,2020,12,63,,Edinburgh_Scotland,75,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11130,104
cxinfr11131,3/4/5/,2020,6,24,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11131,105
cxinfr11132,3/4/5/,2020,12,72,,Edinburgh_Scotland,84,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11132,106
cxinfr11144,3/4/5/,2020,6,63,,Edinburgh_Scotland,69,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11144,107
cxinfr11145,3/4/5/,2020,12,60,,Edinburgh_Scotland,72,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11145,108
cxinfr11150,3/4/5/,2020,6,18,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11150,109
cxinfr11157,3/4/5/,2020,12,33,,Edinburgh_Scotland,45,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11157,110
cxinfr11160,3/4/5/,2020,12,24,,Edinburgh_Scotland,36,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11160,111
cxinfr11161,3/4/5/,2020,9,51,,Edinburgh_Scotland,60,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11161,112
cxinfr11199,3/4/5/,2020,9,45,,Edinburgh_Scotland,54,Edinburgh_Scotland3/4/5/2020,7,Edinburgh_Scotland3/4/5/2020cxinfr11199,113
cxinfr09042,3/4/5/,2021,3,9,,Edinburgh_Scotland,12,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr09042,114
cxinfr10052,3/4/5/,2021,6,21,,Edinburgh_Scotland,27,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10052,115
cxinfr10054,3/4/5/,2021,18,21,,Edinburgh_Scotland,39,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10054,116
cxinfr10057,3/4/5/,2021,36,90,,Edinburgh_Scotland,126,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10057,117
cxinfr10059,3/4/5/,2021,12,24,,Edinburgh_Scotland,36,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10059,118
cxinfr10064,3/4/5/,2021,24,48,100.0,Edinburgh_Scotland,72,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10064,119
cxinfr10065,3/4/5/,2021,9,54,,Edinburgh_Scotland,63,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10065,120
cxinfr10069,3/4/5/,2021,54,147,,Edinburgh_Scotland,201,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10069,121
cxinfr10074,3/4/5/,2021,33,129,,Edinburgh_Scotland,162,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10074,122
cxinfr10076,3/4/5/,2021,9,27,60.0,Edinburgh_Scotland,36,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10076,123
cxinfr10077,3/4/5/,2021,6,15,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10077,124
cxinfr10078,3/4/5/,2021,48,96,,Edinburgh_Scotland,144,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10078,125
cxinfr10079,3/4/5/,2021,9,63,,Edinburgh_Scotland,72,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10079,126
cxinfr10080,3/4/5/,2021,39,87,,Edinburgh_Scotland,126,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr10080,127
cxinfr11017,3/4/5/,2021,24,42,,Edinburgh_Scotland,66,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11017,128
cxinfr11020,3/4/5/,2021,9,36,,Edinburgh_Scotland,45,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11020,129
cxinfr11021,3/4/5/,2021,9,33,,Edinburgh_Scotland,42,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11021,130
cxinfr11023,3/4/5/,2021,3,18,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11023,131
cxinfr11033,3/4/5/,2021,6,15,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11033,132
cxinfr11088,3/4/5/,2021,12,45,,Edinburgh_Scotland,57,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11088,133
cxinfr11092,3/4/5/,2021,0,3,,Edinburgh_Scotland,3,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11092,134
cxinfr11098,3/4/5/,2021,9,15,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11098,135
cxinfr11099,3/4/5/,2021,3,21,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11099,136
cxinfr11130,3/4/5/,2021,15,51,,Edinburgh_Scotland,66,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11130,137
cxinfr11131,3/4/5/,2021,3,9,,Edinburgh_Scotland,12,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11131,138
cxinfr11132,3/4/5/,2021,18,60,,Edinburgh_Scotland,78,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11132,139
cxinfr11134,3/4/5/,2021,3,3,,Edinburgh_Scotland,6,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11134,140
cxinfr11144,3/4/5/,2021,9,42,,Edinburgh_Scotland,51,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11144,141
cxinfr11145,3/4/5/,2021,21,66,,Edinburgh_Scotland,87,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11145,142
cxinfr11150,3/4/5/,2021,6,21,,Edinburgh_Scotland,27,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11150,143
cxinfr11157,3/4/5/,2021,3,12,,Edinburgh_Scotland,15,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11157,144
cxinfr11160,3/4/5/,2021,15,39,,Edinburgh_Scotland,54,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11160,145
cxinfr11161,3/4/5/,2021,6,15,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11161,146
cxinfr11187,3/4/5/,2021,0,6,,Edinburgh_Scotland,6,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11187,147
cxinfr11199,3/4/5/,2021,15,27,,Edinburgh_Scotland,42,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11199,148
cxinfr11202,3/4/5/,2021,3,18,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11202,149
cxinfr11208,3/4/5/,2021,12,18,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2021,8,Edinburgh_Scotland3/4/5/2021cxinfr11208,150
cxinfr10052,3/4/5/,2022,6,30,,Edinburgh_Scotland,36,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10052,151
cxinfr10054,3/4/5/,2022,9,12,,Edinburgh_Scotland,21,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10054,152
cxinfr10057,3/4/5/,2022,30,81,,Edinburgh_Scotland,111,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10057,153
cxinfr10059,3/4/5/,2022,3,9,,Edinburgh_Scotland,12,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10059,154
cxinfr10061,3/4/5/,2022,3,21,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10061,155
cxinfr10064,3/4/5/,2022,21,63,100.0,Edinburgh_Scotland,84,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10064,156
cxinfr10065,3/4/5/,2022,21,114,,Edinburgh_Scotland,135,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10065,157
cxinfr10074,3/4/5/,2022,45,132,,Edinburgh_Scotland,177,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10074,158
cxinfr10076,3/4/5/,2022,3,36,60.0,Edinburgh_Scotland,39,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10076,159
cxinfr10077,3/4/5/,2022,9,21,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10077,160
cxinfr10078,3/4/5/,2022,36,84,,Edinburgh_Scotland,120,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10078,161
cxinfr10079,3/4/5/,2022,39,105,,Edinburgh_Scotland,144,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10079,162
cxinfr10080,3/4/5/,2022,18,57,,Edinburgh_Scotland,75,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10080,163
cxinfr10085,3/4/5/,2022,12,60,,Edinburgh_Scotland,72,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10085,164
cxinfr10086,3/4/5/,2022,30,93,,Edinburgh_Scotland,123,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10086,165
cxinfr10087,3/4/5/,2022,0,9,,Edinburgh_Scotland,9,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr10087,166
cxinfr11017,3/4/5/,2022,21,27,,Edinburgh_Scotland,48,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11017,167
cxinfr11088,3/4/5/,2022,9,24,,Edinburgh_Scotland,33,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11088,168
cxinfr11098,3/4/5/,2022,3,15,,Edinburgh_Scotland,18,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11098,169
cxinfr11114,3/4/5/,2022,3,24,,Edinburgh_Scotland,27,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11114,170
cxinfr11130,3/4/5/,2022,9,24,,Edinburgh_Scotland,33,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11130,171
cxinfr11160,3/4/5/,2022,21,51,,Edinburgh_Scotland,72,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11160,172
cxinfr11161,3/4/5/,2022,3,24,,Edinburgh_Scotland,27,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11161,173
cxinfr11201,3/4/5/,2022,0,3,,Edinburgh_Scotland,3,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11201,174
cxinfr11209,3/4/5/,2022,3,12,,Edinburgh_Scotland,15,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11209,175
cxinfr11213,3/4/5/,2022,3,15,44.0,Edinburgh_Scotland,18,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11213,176
cxinfr11217,3/4/5/,2022,9,30,,Edinburgh_Scotland,39,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11217,177
cxinfr11218,3/4/5/,2022,6,21,,Edinburgh_Scotland,27,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11218,178
cxinfr11219,3/4/5/,2022,9,15,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11219,179
cxinfr11220,3/4/5/,2022,12,57,,Edinburgh_Scotland,69,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11220,180
cxinfr11221,3/4/5/,2022,6,9,,Edinburgh_Scotland,15,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11221,181
cxinfr11222,3/4/5/,2022,3,12,,Edinburgh_Scotland,15,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11222,182
cxinfr11223,3/4/5/,2022,18,66,,Edinburgh_Scotland,84,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11223,183
cxinfr11224,3/4/5/,2022,9,15,,Edinburgh_Scotland,24,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11224,184
cxinfr11225,3/4/5/,2022,9,21,,Edinburgh_Scotland,30,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11225,185
cxinfr11226,3/4/5/,2022,3,15,,Edinburgh_Scotland,18,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11226,186
cxinfr11227,3/4/5/,2022,3,6,,Edinburgh_Scotland,9,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11227,187
cxinfr11228,3/4/5/,2022,15,30,,Edinburgh_Scotland,45,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11228,188
cxinfr11229,3/4/5/,2022,6,42,,Edinburgh_Scotland,48,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11229,189
cxinfr11235,3/4/5/,2022,3,9,,Edinburgh_Scotland,12,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11235,190
cxinfr11238,3/4/5/,2022,18,75,,Edinburgh_Scotland,93,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11238,191
cxinfr11239,3/4/5/,2022,12,45,,Edinburgh_Scotland,57,Edinburgh_Scotland3/4/5/2022,9,Edinburgh_Scotland3/4/5/2022cxinfr11239,192
COMPSCI4003,H,2020,9,39,,Glasgow_Scotland,48,Glasgow_ScotlandH2020,10,Glasgow_ScotlandH2020COMPSCI4003,193
COMPSCI4004,H,2020,27,84,,Glasgow_Scotland,111,Glasgow_ScotlandH2020,10,Glasgow_ScotlandH2020COMPSCI4004,194
COMPSCI4007,H,2020,0,21,,Glasgow_Scotland,21,Glasgow_ScotlandH2020,10,Glasgow_ScotlandH2020COMPSCI4007,195
