elective,institution,MSF,SE,HCI,PDC,NC,03,SPD,GIT,04,OS,13,17,SEP,24,AR,09,14,16,AI,08,SDF,DM,01,SF,10,07,FPL,19,15,18,21,22,SEC,02,AL
cxinfr09042,Edinburgh_Scotland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11092,Edinburgh_Scotland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11222,Edinburgh_Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cxinfr11229,Edinburgh_Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
