MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
5.593,1,2020,18,141,,UOC_Spain,159
5.593,1,2021,24,183,,UOC_Spain,207
5.593,1,2022,27,264,,UOC_Spain,291
5.594,1,2020,3,48,,UOC_Spain,51
5.594,1,2021,3,57,,UOC_Spain,60
5.594,1,2022,3,66,,UOC_Spain,69
5.595,1,2020,6,102,,UOC_Spain,108
5.595,1,2021,15,105,,UOC_Spain,120
5.595,1,2022,15,123,,UOC_Spain,138
5.596,1,2020,15,153,,UOC_Spain,168
5.596,1,2021,27,195,,UOC_Spain,222
5.596,1,2022,30,201,,UOC_Spain,231
5.597,1,2020,24,189,,UOC_Spain,213
5.597,1,2021,18,204,,UOC_Spain,222
5.597,1,2022,21,240,,UOC_Spain,261
5.598,1,2020,12,93,,UOC_Spain,105
5.598,1,2021,9,129,,UOC_Spain,138
5.598,1,2022,18,138,,UOC_Spain,156
5.599,1,2020,12,126,,UOC_Spain,138
5.599,1,2021,15,138,,UOC_Spain,153
5.599,1,2022,18,171,,UOC_Spain,189
5.6,1,2020,9,96,,UOC_Spain,105
5.6,1,2021,15,117,,UOC_Spain,132
5.6,1,2022,15,141,,UOC_Spain,156
5.601,1,2020,15,81,,UOC_Spain,96
5.601,1,2021,9,90,,UOC_Spain,99
5.601,1,2022,12,108,,UOC_Spain,120
5.604,1,2020,12,144,,UOC_Spain,156
5.604,1,2021,21,204,,UOC_Spain,225
5.604,1,2022,24,222,,UOC_Spain,246
5.607,1,2020,12,126,,UOC_Spain,138
5.607,1,2021,12,126,,UOC_Spain,138
5.607,1,2022,21,159,,UOC_Spain,180
5.613,1,2020,15,144,,UOC_Spain,159
5.613,1,2021,27,198,,UOC_Spain,225
5.613,1,2022,54,339,,UOC_Spain,393
5.614,1,2020,114,756,,UOC_Spain,870
5.614,1,2021,126,747,,UOC_Spain,873
5.614,1,2022,126,801,,UOC_Spain,927
5.672,1,2020,3,18,,UOC_Spain,21
5.672,1,2021,6,27,,UOC_Spain,33
5.672,1,2022,3,27,,UOC_Spain,30
22.4,1,2022,42,123,,UOC_Spain,165
CSC301H5,3,2020,18,93,,UofT_Canada,111
CSC301H5,3,2021,9,129,,UofT_Canada,138
CSC301H5,3,2022,6,45,,UofT_Canada,51
CSC309H5,3,2020,12,111,,UofT_Canada,123
CSC309H5,3,2021,21,153,,UofT_Canada,174
CSC309H5,3,2022,18,126,,UofT_Canada,144
CSC311H5,3,2020,24,138,,UofT_Canada,162
CSC311H5,3,2021,27,153,,UofT_Canada,180
CSC311H5,3,2022,27,150,,UofT_Canada,177
CSC324H5,3,2020,27,99,,UofT_Canada,126
CSC324H5,3,2021,33,195,,UofT_Canada,228
CSC324H5,3,2022,15,81,,UofT_Canada,96
CSC338H5,3,2020,12,45,,UofT_Canada,57
CSC338H5,3,2021,9,45,,UofT_Canada,54
CSC338H5,3,2022,9,30,,UofT_Canada,39
CSC347H5,3,2020,18,126,,UofT_Canada,144
CSC347H5,3,2021,21,135,,UofT_Canada,156
CSC347H5,3,2022,18,111,,UofT_Canada,129
CSC367H5,3,2020,6,48,,UofT_Canada,54
CSC367H5,3,2021,6,54,,UofT_Canada,60
CSC367H5,3,2022,3,51,,UofT_Canada,54
CSC375H5,3,2020,0,15,,UofT_Canada,15
CSC375H5,3,2022,0,6,,UofT_Canada,6
CSC376H5,3,2020,3,24,,UofT_Canada,27
CSC376H5,3,2021,6,33,,UofT_Canada,39
CSC376H5,3,2022,3,39,,UofT_Canada,42
CSC384H5,3,2020,6,27,,UofT_Canada,33
CSC384H5,3,2021,9,57,,UofT_Canada,66
CSC384H5,3,2022,12,81,,UofT_Canada,93
CSC413H5,4,2020,12,54,,UofT_Canada,66
CSC413H5,4,2021,9,54,,UofT_Canada,63
CSC413H5,4,2022,9,63,,UofT_Canada,72
CSC488H5,4,2021,3,24,,UofT_Canada,27
CSC488H5,4,2022,3,36,,UofT_Canada,39
1DL481,1,2020,6,27,,Uppsala_Sweden,33
1MD001,1,2020,24,24,,Uppsala_Sweden,48
1TD169,1,2020,15,39,,Uppsala_Sweden,54
1TD388,1,2020,15,30,,Uppsala_Sweden,45
1TD062,1,2020,24,78,,Uppsala_Sweden,102
1DL034,1,2020,15,54,,Uppsala_Sweden,69
1MD004,1,2020,18,27,,Uppsala_Sweden,45
1DT075,1,2020,9,42,,Uppsala_Sweden,51
1DL550,1,2020,6,33,,Uppsala_Sweden,39
1DL251,1,2020,12,48,,Uppsala_Sweden,60
1MD300,1,2020,6,9,,Uppsala_Sweden,15
1DL481,1,2021,3,27,,Uppsala_Sweden,30
1MD001,1,2021,12,27,,Uppsala_Sweden,39
1TD169,1,2021,12,36,,Uppsala_Sweden,48
1TD388,1,2021,6,21,,Uppsala_Sweden,27
1TD062,1,2021,12,57,,Uppsala_Sweden,69
1DL034,1,2021,24,99,,Uppsala_Sweden,123
1MD004,1,2021,18,15,,Uppsala_Sweden,33
1DT075,1,2021,12,39,,Uppsala_Sweden,51
1DL550,1,2021,3,33,,Uppsala_Sweden,36
1DL251,1,2021,9,24,,Uppsala_Sweden,33
1MD300,1,2021,9,12,,Uppsala_Sweden,21
1DL481,1,2022,3,21,,Uppsala_Sweden,24
1MD001,1,2022,24,24,,Uppsala_Sweden,48
1TD169,1,2022,18,84,,Uppsala_Sweden,102
1TD388,1,2022,0,24,,Uppsala_Sweden,24
1TD062,1,2022,18,66,,Uppsala_Sweden,84
1DL034,1,2022,18,66,,Uppsala_Sweden,84
1MD004,1,2022,21,21,,Uppsala_Sweden,42
1DT075,1,2022,6,48,,Uppsala_Sweden,54
1DL550,1,2022,3,36,,Uppsala_Sweden,39
1DL251,1,2022,3,36,,Uppsala_Sweden,39
1MD300,1,2022,6,6,,Uppsala_Sweden,12
1DT052,1,2020,15,60,,Uppsala_Sweden,75
1TD403,1,2020,6,39,,Uppsala_Sweden,45
1DT072,1,2020,12,60,,Uppsala_Sweden,72
1DL251,1,2020,42,66,,Uppsala_Sweden,108
1DT052,1,2021,12,42,,Uppsala_Sweden,54
1TD403,1,2021,12,72,,Uppsala_Sweden,84
1DT072,1,2021,15,66,,Uppsala_Sweden,81
1DL251,1,2021,30,66,,Uppsala_Sweden,96
1DT052,1,2022,9,42,,Uppsala_Sweden,51
1TD403,1,2022,15,57,,Uppsala_Sweden,72
1DT072,1,2022,18,84,,Uppsala_Sweden,102
1DL251,1,2022,33,87,,Uppsala_Sweden,120
CS3704,1,2020,42,126,,VirginiaTech_USA,168
CS3704,1,2021,27,147,,VirginiaTech_USA,174
CS3704,1,2022,69,261,,VirginiaTech_USA,330
CS3714,1,2020,24,117,,VirginiaTech_USA,141
CS3714,1,2021,18,147,,VirginiaTech_USA,165
CS3714,1,2022,36,168,,VirginiaTech_USA,204
CS3724,1,2020,51,126,,VirginiaTech_USA,177
CS3724,1,2021,81,177,,VirginiaTech_USA,258
CS3724,1,2022,66,180,,VirginiaTech_USA,246
CS3744,1,2020,27,120,,VirginiaTech_USA,147
CS3744,1,2021,21,132,,VirginiaTech_USA,153
CS3744,1,2022,51,183,,VirginiaTech_USA,234
CS3754,1,2020,12,105,,VirginiaTech_USA,117
CS3754,1,2021,21,105,,VirginiaTech_USA,126
CS3754,1,2022,12,84,,VirginiaTech_USA,96
CS3824,1,2020,6,30,,VirginiaTech_USA,36
CS3824,1,2021,3,18,,VirginiaTech_USA,21
CS3824,1,2022,3,12,,VirginiaTech_USA,15
CS4104,1,2020,39,168,,VirginiaTech_USA,207
CS4104,1,2021,54,279,,VirginiaTech_USA,333
CS4104,1,2022,66,321,,VirginiaTech_USA,387
CS4114,1,2020,33,105,,VirginiaTech_USA,138
CS4114,1,2021,15,54,,VirginiaTech_USA,69
CS4114,1,2022,18,63,,VirginiaTech_USA,81
CS4124,1,2020,0,15,,VirginiaTech_USA,15
CS4124,1,2021,0,12,,VirginiaTech_USA,12
CS4124,1,2022,3,42,,VirginiaTech_USA,45
CS4134,1,2020,3,30,,VirginiaTech_USA,33
CS4144,1,2020,0,6,,VirginiaTech_USA,6
CS4234,1,2020,0,12,,VirginiaTech_USA,12
CS4234,1,2021,3,9,,VirginiaTech_USA,12
CS4234,1,2022,3,15,,VirginiaTech_USA,18
CS4254,1,2020,3,21,,VirginiaTech_USA,24
CS4254,1,2021,6,27,,VirginiaTech_USA,33
CS4254,1,2022,3,42,,VirginiaTech_USA,45
CS4264,1,2020,24,108,,VirginiaTech_USA,132
CS4264,1,2021,12,96,,VirginiaTech_USA,108
CS4264,1,2022,21,135,,VirginiaTech_USA,156
CS4284,1,2020,9,48,,VirginiaTech_USA,57
CS4284,1,2021,6,27,,VirginiaTech_USA,33
CS4284,1,2022,6,39,,VirginiaTech_USA,45
CS4504,1,2020,0,9,,VirginiaTech_USA,9
CS4504,1,2021,0,9,,VirginiaTech_USA,9
CS4504,1,2022,3,9,,VirginiaTech_USA,12
CS4604,1,2020,6,63,,VirginiaTech_USA,69
CS4604,1,2021,18,63,,VirginiaTech_USA,81
CS4604,1,2022,36,102,,VirginiaTech_USA,138
CS4624,1,2020,9,54,,VirginiaTech_USA,63
CS4624,1,2021,12,117,,VirginiaTech_USA,129
CS4624,1,2022,30,123,,VirginiaTech_USA,153
CS4644,1,2020,18,39,,VirginiaTech_USA,57
CS4644,1,2021,15,21,,VirginiaTech_USA,36
CS4644,1,2022,18,21,,VirginiaTech_USA,39
CS4704,1,2020,30,117,,VirginiaTech_USA,147
CS4704,1,2021,21,132,,VirginiaTech_USA,153
CS4704,1,2022,30,186,,VirginiaTech_USA,216
CS4784,1,2020,12,24,,VirginiaTech_USA,36
CS4784,1,2021,18,27,,VirginiaTech_USA,45
CS4784,1,2022,24,30,,VirginiaTech_USA,54
CS4804,1,2020,6,42,,VirginiaTech_USA,48
CS4804,1,2021,3,63,,VirginiaTech_USA,66
CS4804,1,2022,3,54,,VirginiaTech_USA,57
