MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
cxinfr10064,3/4/5/,2022,21,63,100,Edinburgh_Scotland,84
cxinfr10065,3/4/5/,2021,9,54,,Edinburgh_Scotland,63
cxinfr10065,3/4/5/,2022,21,114,,Edinburgh_Scotland,135
cxinfr10069,3/4/5/,2020,54,159,,Edinburgh_Scotland,213
cxinfr10069,3/4/5/,2021,54,147,,Edinburgh_Scotland,201
cxinfr10074,3/4/5/,2020,36,126,,Edinburgh_Scotland,162
cxinfr10074,3/4/5/,2021,33,129,,Edinburgh_Scotland,162
cxinfr10074,3/4/5/,2022,45,132,,Edinburgh_Scotland,177
cxinfr10076,3/4/5/,2021,9,27,60,Edinburgh_Scotland,36
cxinfr10076,3/4/5/,2022,3,36,60,Edinburgh_Scotland,39
cxinfr10077,3/4/5/,2020,9,21,,Edinburgh_Scotland,30
cxinfr10077,3/4/5/,2021,6,15,,Edinburgh_Scotland,21
cxinfr10077,3/4/5/,2022,9,21,,Edinburgh_Scotland,30
cxinfr10078,3/4/5/,2021,48,96,,Edinburgh_Scotland,144
cxinfr10078,3/4/5/,2022,36,84,,Edinburgh_Scotland,120
cxinfr10079,3/4/5/,2020,33,96,,Edinburgh_Scotland,129
cxinfr10079,3/4/5/,2021,9,63,,Edinburgh_Scotland,72
cxinfr10079,3/4/5/,2022,39,105,,Edinburgh_Scotland,144
cxinfr10080,3/4/5/,2020,54,120,,Edinburgh_Scotland,174
cxinfr10080,3/4/5/,2021,39,87,,Edinburgh_Scotland,126
cxinfr10080,3/4/5/,2022,18,57,,Edinburgh_Scotland,75
cxinfr10085,3/4/5/,2022,12,60,,Edinburgh_Scotland,72
cxinfr10086,3/4/5/,2022,30,93,,Edinburgh_Scotland,123
cxinfr10087,3/4/5/,2022,0,9,,Edinburgh_Scotland,9
cxinfr11017,3/4/5/,2020,18,63,,Edinburgh_Scotland,81
cxinfr11017,3/4/5/,2021,24,42,,Edinburgh_Scotland,66
cxinfr11017,3/4/5/,2022,21,27,,Edinburgh_Scotland,48
cxinfr11020,3/4/5/,2020,9,54,,Edinburgh_Scotland,63
cxinfr11020,3/4/5/,2021,9,36,,Edinburgh_Scotland,45
cxinfr11021,3/4/5/,2021,9,33,,Edinburgh_Scotland,42
cxinfr11023,3/4/5/,2021,3,18,,Edinburgh_Scotland,21
cxinfr11033,3/4/5/,2020,3,9,,Edinburgh_Scotland,12
cxinfr11033,3/4/5/,2021,6,15,,Edinburgh_Scotland,21
cxinfr11088,3/4/5/,2021,12,45,,Edinburgh_Scotland,57
cxinfr11088,3/4/5/,2022,9,24,,Edinburgh_Scotland,33
cxinfr11092,3/4/5/,2020,3,6,,Edinburgh_Scotland,9
cxinfr11092,3/4/5/,2021,0,3,,Edinburgh_Scotland,3
cxinfr11098,3/4/5/,2021,9,15,,Edinburgh_Scotland,24
cxinfr11098,3/4/5/,2022,3,15,,Edinburgh_Scotland,18
cxinfr11099,3/4/5/,2020,3,27,,Edinburgh_Scotland,30
cxinfr11099,3/4/5/,2021,3,21,,Edinburgh_Scotland,24
cxinfr11114,3/4/5/,2022,3,24,,Edinburgh_Scotland,27
cxinfr11130,3/4/5/,2020,12,63,,Edinburgh_Scotland,75
cxinfr11130,3/4/5/,2021,15,51,,Edinburgh_Scotland,66
cxinfr11130,3/4/5/,2022,9,24,,Edinburgh_Scotland,33
cxinfr11131,3/4/5/,2020,6,24,,Edinburgh_Scotland,30
cxinfr11131,3/4/5/,2021,3,9,,Edinburgh_Scotland,12
cxinfr11132,3/4/5/,2020,12,72,,Edinburgh_Scotland,84
cxinfr11132,3/4/5/,2021,18,60,,Edinburgh_Scotland,78
cxinfr11134,3/4/5/,2021,3,3,,Edinburgh_Scotland,6
cxinfr11144,3/4/5/,2020,6,63,,Edinburgh_Scotland,69
cxinfr11144,3/4/5/,2021,9,42,,Edinburgh_Scotland,51
cxinfr11145,3/4/5/,2020,12,60,,Edinburgh_Scotland,72
cxinfr11145,3/4/5/,2021,21,66,,Edinburgh_Scotland,87
cxinfr11150,3/4/5/,2020,6,18,,Edinburgh_Scotland,24
cxinfr11150,3/4/5/,2021,6,21,,Edinburgh_Scotland,27
cxinfr11157,3/4/5/,2020,12,33,,Edinburgh_Scotland,45
cxinfr11157,3/4/5/,2021,3,12,,Edinburgh_Scotland,15
cxinfr11160,3/4/5/,2020,12,24,,Edinburgh_Scotland,36
