,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,232.336,41.611,159.541,312.825,10.209,7.35,16.0,55.0,1.17
sigma_topic_women_men_diff,150.392,45.061,71.061,233.968,13.318,9.668,11.0,85.0,1.27
sigma_nontopic_women,287.602,11.679,265.879,309.301,3.766,2.748,10.0,53.0,1.32
sigma_nontopic_men,327.722,14.623,301.636,353.623,5.348,3.94,8.0,86.0,1.44
popularity_topic_all[0],-2.188,232.793,-456.961,421.989,1.672,2.182,19499.0,10697.0,1.0
popularity_topic_all[1],-33.416,102.521,-217.601,164.158,22.692,16.281,20.0,89.0,1.13
popularity_topic_all[2],-78.318,139.158,-354.773,129.671,60.33,45.245,7.0,29.0,1.57
popularity_topic_all[3],-275.762,175.238,-576.085,9.665,75.339,56.442,6.0,90.0,1.68
popularity_topic_all[4],-329.769,169.876,-636.59,-4.387,32.582,23.291,28.0,116.0,1.09
popularity_topic_all[5],0.156,235.354,-453.649,443.488,1.812,2.423,17073.0,8611.0,1.0
popularity_topic_all[6],0.054,235.672,-450.886,432.751,1.7,2.747,19357.0,9598.0,1.01
popularity_topic_all[7],2.901,235.004,-445.51,443.168,1.774,2.363,17756.0,9843.0,1.01
popularity_topic_all[8],73.326,142.505,-191.413,342.168,35.009,25.205,17.0,64.0,1.16
popularity_topic_all[9],-66.028,133.208,-288.833,183.686,58.046,43.561,6.0,31.0,1.93
popularity_topic_all[10],144.927,133.495,-88.602,381.346,52.87,39.243,7.0,97.0,1.56
popularity_topic_all[11],3.17,46.503,-83.026,91.747,8.181,5.838,32.0,825.0,1.08
popularity_topic_all[12],2.278,234.883,-427.623,459.272,1.717,2.26,19080.0,9779.0,1.01
popularity_topic_all[13],-3.253,235.945,-453.609,441.036,1.723,2.449,18941.0,7689.0,1.0
popularity_topic_all[14],-90.461,159.222,-354.693,169.742,69.786,52.41,6.0,59.0,1.74
popularity_topic_all[15],-494.946,263.656,-906.573,-128.563,126.016,95.827,5.0,33.0,1.97
popularity_topic_all[16],-43.7,44.856,-131.921,32.44,17.21,12.734,8.0,32.0,1.48
popularity_topic_all[17],-201.328,96.082,-345.511,-50.84,45.216,34.301,6.0,37.0,1.93
popularity_topic_all[18],-259.408,67.729,-383.759,-133.713,14.914,10.752,21.0,155.0,1.13
popularity_topic_all[19],-47.923,53.902,-148.395,50.594,17.694,12.928,9.0,90.0,1.34
popularity_topic_all[20],-316.288,218.543,-617.768,-42.623,107.567,82.195,5.0,34.0,2.03
popularity_topic_all[21],-118.607,46.178,-205.435,-30.253,4.684,3.322,97.0,2486.0,1.04
popularity_topic_all[22],26.666,70.152,-109.408,146.978,26.758,19.787,7.0,38.0,1.53
popularity_topic_all[23],-45.211,60.024,-156.739,64.094,22.506,16.617,7.0,34.0,1.51
popularity_topic_all[24],-67.167,51.822,-168.28,26.165,16.226,11.96,10.0,36.0,1.3
popularity_topic_all[25],-158.166,110.877,-352.229,28.42,46.433,34.676,6.0,81.0,1.67
popularity_topic_all[26],-513.387,71.162,-649.787,-388.423,24.644,18.436,9.0,35.0,1.37
popularity_topic_all[27],19.331,159.162,-286.7,313.249,1.673,1.477,9076.0,8884.0,1.0
popularity_topic_all[28],6.113,52.321,-94.902,100.449,17.014,12.423,10.0,47.0,1.32
popularity_topic_all[29],21.572,46.433,-64.811,109.087,16.919,12.46,8.0,38.0,1.48
popularity_topic_all[30],-203.909,138.333,-399.368,-9.779,66.865,50.938,6.0,46.0,1.85
popularity_topic_all[31],85.901,120.312,-136.856,318.197,14.446,10.258,69.0,975.0,1.05
popularity_topic_all[32],-101.342,58.83,-213.393,2.53,20.977,15.443,8.0,36.0,1.42
popularity_topic_all[33],-1.176,0.74,-2.447,0.19,0.301,0.224,6.0,36.0,1.65
popularity_topic_women_men_diff[0],-0.438,155.483,-296.09,303.34,1.183,8.075,17678.0,4958.0,1.02
popularity_topic_women_men_diff[1],127.502,143.293,-122.312,402.814,35.884,25.853,17.0,65.0,1.15
popularity_topic_women_men_diff[2],-15.01,154.423,-323.659,252.049,55.631,40.93,8.0,30.0,1.39
popularity_topic_women_men_diff[3],108.764,179.814,-227.761,435.651,67.485,49.83,7.0,40.0,1.52
popularity_topic_women_men_diff[4],-110.396,156.475,-408.853,170.03,20.956,14.896,59.0,371.0,1.04
popularity_topic_women_men_diff[5],0.609,155.219,-292.272,310.051,1.189,8.696,16996.0,5065.0,1.02
popularity_topic_women_men_diff[6],-0.078,155.98,-299.327,289.187,1.243,8.405,16185.0,3593.0,1.02
popularity_topic_women_men_diff[7],-0.027,155.903,-286.435,308.082,1.115,6.197,19870.0,6323.0,1.02
popularity_topic_women_men_diff[8],97.09,212.722,-269.307,532.541,75.78,55.703,9.0,31.0,1.36
popularity_topic_women_men_diff[9],95.945,136.098,-148.428,345.239,49.042,36.083,8.0,57.0,1.44
popularity_topic_women_men_diff[10],-47.796,129.9,-294.946,191.438,29.235,20.985,20.0,103.0,1.13
popularity_topic_women_men_diff[11],-63.543,85.087,-222.993,94.364,21.465,15.469,16.0,138.0,1.17
popularity_topic_women_men_diff[12],-0.456,155.087,-285.894,303.435,1.169,3.981,18103.0,6739.0,1.01
popularity_topic_women_men_diff[13],0.202,159.751,-305.828,308.097,1.247,6.399,16878.0,6382.0,1.02
popularity_topic_women_men_diff[14],126.566,151.532,-129.138,423.006,51.417,37.653,9.0,53.0,1.35
popularity_topic_women_men_diff[15],161.76,164.352,-103.956,486.445,59.934,44.142,8.0,34.0,1.41
popularity_topic_women_men_diff[16],-9.532,56.113,-118.35,92.727,13.008,9.346,19.0,154.0,1.14
popularity_topic_women_men_diff[17],-79.82,81.238,-233.363,62.013,29.66,21.847,8.0,58.0,1.46
popularity_topic_women_men_diff[18],-59.381,96.316,-243.741,118.296,8.559,6.066,127.0,1393.0,1.03
popularity_topic_women_men_diff[19],60.307,68.824,-67.973,191.175,1.647,1.165,1747.0,3969.0,1.01
popularity_topic_women_men_diff[20],172.438,172.135,-101.594,452.924,78.25,59.058,6.0,45.0,1.88
popularity_topic_women_men_diff[21],-43.523,75.562,-187.052,97.232,7.122,5.049,114.0,3380.0,1.03
popularity_topic_women_men_diff[22],54.46,79.812,-97.607,202.839,8.421,5.974,90.0,3501.0,1.04
popularity_topic_women_men_diff[23],-46.478,72.418,-176.111,95.69,8.938,6.348,66.0,1201.0,1.05
popularity_topic_women_men_diff[24],-19.112,67.369,-141.955,109.822,2.795,1.977,563.0,4238.0,1.02
popularity_topic_women_men_diff[25],37.197,118.031,-182.971,262.284,36.415,26.5,11.0,44.0,1.28
popularity_topic_women_men_diff[26],-27.965,123.672,-260.017,187.383,47.166,34.879,7.0,54.0,1.53
popularity_topic_women_men_diff[27],23.839,145.268,-256.742,297.521,1.203,5.132,15038.0,2904.0,1.01
popularity_topic_women_men_diff[28],-1.573,67.15,-130.63,121.233,1.386,0.98,2340.0,4796.0,1.01
popularity_topic_women_men_diff[29],-33.376,59.736,-148.677,75.833,10.212,7.284,34.0,142.0,1.08
popularity_topic_women_men_diff[30],227.897,173.631,-30.622,493.954,81.112,61.462,6.0,62.0,1.77
popularity_topic_women_men_diff[31],1.433,129.813,-250.364,246.212,1.306,1.909,10009.0,7207.0,1.01
popularity_topic_women_men_diff[32],-49.528,69.067,-179.39,80.54,1.68,1.188,1672.0,4727.0,1.01
popularity_topic_women_men_diff[33],1.526,0.954,-0.236,3.308,0.212,0.152,20.0,161.0,1.13
"popularity_module_non_topic_women[0, 0]",242.992,113.231,29.195,455.37,18.962,13.519,36.0,429.0,1.07
"popularity_module_non_topic_women[0, 1]",-47.925,133.869,-302.761,201.612,1.668,1.18,6078.0,10155.0,1.01
"popularity_module_non_topic_women[0, 2]",-525.089,314.475,-1090.99,-55.18,18.982,14.939,540.0,4106.0,1.02
"popularity_module_non_topic_women[0, 3]",-12.15,113.994,-219.504,209.154,1.512,1.069,5661.0,8662.0,1.0
"popularity_module_non_topic_women[0, 4]",-703.961,263.988,-1052.41,-103.422,6.213,4.563,1114.0,354.0,1.04
"popularity_module_non_topic_women[0, 5]",-28.37,122.879,-250.099,209.417,16.025,11.388,59.0,882.0,1.04
"popularity_module_non_topic_women[0, 6]",20.155,112.696,-188.208,230.056,11.178,7.927,101.0,7158.0,1.03
"popularity_module_non_topic_women[0, 7]",323.017,112.856,108.513,530.633,16.596,11.81,46.0,769.0,1.06
"popularity_module_non_topic_women[0, 8]",294.459,120.071,65.315,520.907,17.34,12.337,48.0,672.0,1.06
"popularity_module_non_topic_women[0, 9]",160.77,117.714,-57.083,386.06,19.131,13.633,38.0,277.0,1.07
"popularity_module_non_topic_women[0, 10]",130.469,139.024,-127.779,391.786,13.396,9.498,105.0,5512.0,1.03
"popularity_module_non_topic_women[0, 11]",49.04,119.68,-169.912,281.727,14.501,10.298,68.0,669.0,1.04
"popularity_module_non_topic_women[0, 12]",94.893,108.344,-105.942,297.006,13.48,9.575,65.0,2177.0,1.04
"popularity_module_non_topic_women[0, 13]",-1.796,286.425,-539.461,540.726,1.983,2.494,20903.0,10913.0,1.0
"popularity_module_non_topic_women[0, 14]",1.924,289.963,-546.071,536.515,1.915,2.5,22975.0,11242.0,1.0
"popularity_module_non_topic_women[0, 15]",1.544,287.855,-532.472,547.944,1.991,2.656,20899.0,11680.0,1.0
"popularity_module_non_topic_women[0, 16]",-1.744,288.356,-525.632,560.019,1.909,2.595,22830.0,11083.0,1.0
"popularity_module_non_topic_women[0, 17]",-2.557,288.118,-552.002,529.136,1.956,2.52,21713.0,11581.0,1.0
"popularity_module_non_topic_women[0, 18]",-0.79,293.143,-541.967,558.351,2.063,2.648,20203.0,10971.0,1.0
