,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,266.417,41.498,192.753,341.359,2.923,2.07,193.0,123.0,1.02
sigma_topic_women_men_diff,75.393,29.772,20.175,115.86,11.028,8.133,8.0,38.0,1.58
sigma_nontopic_women,268.747,8.912,252.148,283.683,1.855,1.329,23.0,74.0,1.12
sigma_nontopic_men,320.328,10.39,302.178,341.971,2.329,1.692,21.0,42.0,1.16
popularity_topic_all[0],-101.099,91.083,-272.947,52.472,14.221,10.128,42.0,37.0,1.07
popularity_topic_all[1],34.324,67.679,-78.472,179.799,15.313,11.103,21.0,32.0,1.17
popularity_topic_all[2],-30.734,87.395,-213.134,111.18,10.8,8.999,66.0,135.0,1.08
popularity_topic_all[3],-281.063,160.055,-554.555,33.664,44.32,35.615,13.0,25.0,1.29
popularity_topic_all[4],-170.048,56.12,-287.722,-84.782,15.196,10.984,14.0,31.0,1.25
popularity_topic_all[5],-4.299,96.535,-261.19,133.544,33.424,24.514,10.0,15.0,1.38
popularity_topic_all[6],-53.746,42.283,-123.984,13.677,9.522,6.835,21.0,100.0,1.15
popularity_topic_all[7],34.989,76.813,-113.603,177.989,12.349,9.404,39.0,41.0,1.06
popularity_topic_all[8],-311.549,64.562,-413.009,-178.801,7.41,5.26,77.0,100.0,1.04
popularity_topic_all[9],-126.869,29.227,-191.713,-79.666,6.279,4.733,22.0,47.0,1.16
popularity_topic_all[10],-348.021,27.065,-402.166,-303.04,6.916,5.047,16.0,35.0,1.19
popularity_topic_all[11],-346.242,60.483,-461.641,-240.038,15.593,11.247,15.0,59.0,1.24
popularity_topic_all[12],-113.736,34.669,-154.221,-38.962,6.34,4.528,29.0,45.0,1.15
popularity_topic_all[13],-610.6,28.596,-661.072,-558.234,5.861,4.232,27.0,41.0,1.1
popularity_topic_all[14],-164.05,41.625,-250.757,-93.57,7.832,5.753,28.0,48.0,1.12
popularity_topic_all[15],-67.795,43.694,-140.771,21.117,12.586,9.125,12.0,28.0,1.3
popularity_topic_all[16],-163.231,50.563,-256.609,-70.336,18.773,13.848,8.0,43.0,1.58
popularity_topic_all[17],-164.352,43.635,-236.529,-79.586,12.274,8.888,13.0,50.0,1.3
popularity_topic_all[18],-425.606,59.327,-521.103,-301.991,14.892,10.73,18.0,37.0,1.18
popularity_topic_all[19],-581.912,43.598,-658.01,-491.829,9.313,6.675,23.0,38.0,1.14
popularity_topic_all[20],248.983,106.027,-4.382,395.395,18.206,12.986,38.0,61.0,1.08
popularity_topic_all[21],-84.78,44.321,-180.096,-9.477,14.038,10.232,10.0,20.0,1.37
popularity_topic_all[22],-50.33,28.557,-95.578,1.351,9.685,7.092,9.0,30.0,1.48
popularity_topic_all[23],-94.298,28.563,-140.607,-40.654,6.761,4.979,17.0,41.0,1.19
popularity_topic_all[24],-216.386,40.902,-309.891,-159.904,8.136,5.821,26.0,41.0,1.11
popularity_topic_women_men_diff[0],36.743,72.17,-98.665,178.036,8.013,5.687,71.0,160.0,1.07
popularity_topic_women_men_diff[1],-0.773,66.753,-117.982,140.797,7.085,5.027,92.0,103.0,1.04
popularity_topic_women_men_diff[2],15.533,67.604,-113.162,137.694,11.564,8.248,39.0,113.0,1.12
popularity_topic_women_men_diff[3],-17.44,88.481,-159.878,183.55,5.818,6.555,259.0,130.0,1.08
popularity_topic_women_men_diff[4],34.221,63.7,-84.065,150.779,9.634,8.982,48.0,96.0,1.06
popularity_topic_women_men_diff[5],5.885,71.908,-124.253,141.485,6.267,5.358,135.0,104.0,1.04
popularity_topic_women_men_diff[6],-13.905,57.762,-131.896,83.295,14.695,10.594,16.0,77.0,1.22
popularity_topic_women_men_diff[7],10.635,68.154,-121.309,122.507,5.564,6.956,151.0,153.0,1.09
popularity_topic_women_men_diff[8],43.345,70.696,-55.414,185.347,7.184,5.451,103.0,65.0,1.04
popularity_topic_women_men_diff[9],-43.763,38.419,-115.894,24.883,8.519,6.505,22.0,17.0,1.19
popularity_topic_women_men_diff[10],-19.017,41.636,-93.145,62.658,9.881,7.105,19.0,75.0,1.16
popularity_topic_women_men_diff[11],-32.261,55.617,-146.953,56.54,6.17,4.378,83.0,148.0,1.03
popularity_topic_women_men_diff[12],28.961,45.718,-69.398,105.337,10.748,8.167,20.0,35.0,1.15
popularity_topic_women_men_diff[13],171.129,86.621,6.452,304.743,32.482,23.982,7.0,38.0,1.65
popularity_topic_women_men_diff[14],-42.364,54.16,-158.02,41.491,17.139,12.492,10.0,36.0,1.35
popularity_topic_women_men_diff[15],24.107,61.794,-77.749,153.168,11.909,8.514,29.0,93.0,1.11
popularity_topic_women_men_diff[16],94.313,64.14,-7.889,213.951,22.128,16.224,9.0,138.0,1.45
popularity_topic_women_men_diff[17],-18.251,49.705,-123.93,65.354,11.302,8.115,20.0,38.0,1.18
popularity_topic_women_men_diff[18],23.39,60.53,-83.399,148.589,6.275,4.887,94.0,104.0,1.09
popularity_topic_women_men_diff[19],41.099,61.427,-48.9,169.836,14.115,10.139,17.0,96.0,1.18
popularity_topic_women_men_diff[20],6.874,67.618,-114.638,125.252,5.457,6.673,142.0,137.0,1.1
popularity_topic_women_men_diff[21],-10.203,51.133,-113.13,66.902,11.728,8.424,20.0,27.0,1.16
popularity_topic_women_men_diff[22],-13.811,48.374,-96.764,82.404,12.468,8.993,15.0,31.0,1.2
popularity_topic_women_men_diff[23],40.599,46.681,-44.248,138.649,8.428,6.017,26.0,90.0,1.12
popularity_topic_women_men_diff[24],-19.593,55.606,-147.799,61.783,9.902,7.067,33.0,87.0,1.05
"popularity_module_non_topic_women[0, 0]",279.345,91.983,125.367,462.335,9.632,6.952,92.0,149.0,1.03
"popularity_module_non_topic_women[0, 1]",-72.698,109.451,-273.421,115.718,8.951,6.342,154.0,193.0,1.01
"popularity_module_non_topic_women[0, 2]",-477.729,297.392,-1052.36,-29.146,69.252,55.187,27.0,77.0,1.12
"popularity_module_non_topic_women[0, 3]",15.015,92.261,-165.416,181.485,10.3,7.31,81.0,193.0,1.04
"popularity_module_non_topic_women[0, 4]",-659.269,225.561,-892.208,-76.082,65.891,47.804,20.0,16.0,1.15
"popularity_module_non_topic_women[0, 5]",-64.31,109.233,-250.608,135.325,15.121,10.753,54.0,155.0,1.05
"popularity_module_non_topic_women[0, 6]",8.069,105.471,-173.538,193.693,9.763,6.921,114.0,139.0,1.02
"popularity_module_non_topic_women[0, 7]",424.051,100.937,255.433,618.368,10.81,7.76,88.0,84.0,1.03
"popularity_module_non_topic_women[0, 8]",375.634,100.012,184.695,550.119,10.107,7.168,104.0,157.0,1.03
"popularity_module_non_topic_women[0, 9]",183.538,113.554,0.973,404.561,20.685,16.9,30.0,63.0,1.11
"popularity_module_non_topic_women[0, 10]",181.352,128.174,-58.354,401.105,16.683,11.856,63.0,114.0,1.04
"popularity_module_non_topic_women[0, 11]",35.965,104.27,-170.352,202.214,14.246,10.129,48.0,67.0,1.06
"popularity_module_non_topic_women[0, 12]",87.861,95.815,-88.431,259.075,9.697,6.878,101.0,131.0,1.02
"popularity_module_non_topic_women[0, 13]",40.33,245.434,-350.474,588.891,14.96,14.888,265.0,161.0,1.02
"popularity_module_non_topic_women[0, 14]",23.251,238.125,-493.151,383.539,13.003,16.964,334.0,181.0,1.02
"popularity_module_non_topic_women[0, 15]",-11.246,263.507,-496.436,445.746,16.989,17.225,235.0,127.0,1.03
"popularity_module_non_topic_women[0, 16]",-28.184,259.418,-498.064,479.538,15.679,16.339,273.0,194.0,1.01
"popularity_module_non_topic_women[0, 17]",30.573,248.586,-394.082,494.462,13.175,13.977,361.0,189.0,1.0
"popularity_module_non_topic_women[0, 18]",10.103,254.559,-397.203,515.977,15.673,17.349,274.0,169.0,1.02
"popularity_module_non_topic_women[0, 19]",7.212,249.789,-508.643,430.043,13.08,18.636,369.0,183.0,1.01
