,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
popularity_topic_women_men_diff[19],-3.042,39.671,-84.985,74.545,2.062,1.459,472.0,502.0,1.01
popularity_topic_women_men_diff[20],-2.458,41.997,-88.38,80.99,1.295,1.408,1423.0,763.0,1.01
popularity_topic_women_men_diff[21],-0.625,42.821,-87.967,88.614,1.637,1.449,841.0,696.0,1.01
popularity_topic_women_men_diff[22],10.957,39.818,-63.415,100.049,1.915,1.472,504.0,559.0,1.01
popularity_topic_women_men_diff[23],3.872,40.624,-81.125,85.124,1.731,1.629,695.0,453.0,1.01
popularity_topic_women_men_diff[24],0.94,41.663,-76.704,87.38,1.211,1.375,1784.0,929.0,1.01
popularity_topic_women_men_diff[25],-0.946,44.367,-94.867,77.889,2.271,2.111,666.0,357.0,1.01
popularity_topic_women_men_diff[26],-3.788,38.662,-80.005,75.714,1.274,1.184,1055.0,832.0,1.01
popularity_topic_women_men_diff[27],-1.307,41.544,-91.291,78.282,1.179,1.36,1683.0,948.0,1.01
popularity_topic_women_men_diff[28],19.754,41.418,-48.846,109.604,2.752,2.119,288.0,302.0,1.01
popularity_topic_women_men_diff[29],1.506,42.773,-79.319,91.031,1.256,1.342,1650.0,800.0,1.01
popularity_topic_women_men_diff[30],-6.72,41.446,-86.729,78.543,2.041,1.732,564.0,381.0,1.01
popularity_topic_women_men_diff[31],-0.319,38.856,-79.869,79.247,1.473,1.237,778.0,749.0,1.01
popularity_topic_women_men_diff[32],-0.66,40.999,-83.296,81.33,1.125,1.33,1811.0,847.0,1.01
popularity_topic_women_men_diff[33],-1.656,38.638,-83.11,72.749,1.455,1.291,898.0,625.0,1.0
popularity_topic_women_men_diff[34],-1.137,44.347,-85.267,90.132,1.022,1.274,2573.0,1158.0,1.01
popularity_topic_women_men_diff[35],-7.92,38.486,-92.459,63.684,1.647,1.416,668.0,540.0,1.01
popularity_topic_women_men_diff[36],-1.184,42.746,-85.12,86.873,2.123,2.018,684.0,341.0,1.01
popularity_topic_women_men_diff[37],-0.836,42.721,-92.153,83.157,0.981,1.516,2410.0,956.0,1.01
popularity_topic_women_men_diff[38],0.681,40.749,-84.594,82.782,1.239,1.361,1309.0,1005.0,1.01
"popularity_module_non_topic_women[0, 0]",508.432,152.272,209.782,784.864,18.906,13.429,65.0,246.0,1.06
"popularity_module_non_topic_women[0, 1]",61.632,162.324,-238.775,380.659,27.223,19.41,37.0,177.0,1.09
"popularity_module_non_topic_women[0, 2]",108.651,168.94,-202.838,420.611,17.117,12.14,98.0,197.0,1.04
"popularity_module_non_topic_women[0, 3]",-99.076,163.58,-410.374,189.598,17.6,12.487,86.0,185.0,1.03
"popularity_module_non_topic_women[0, 4]",-90.144,211.406,-501.621,297.961,25.18,17.879,72.0,189.0,1.03
"popularity_module_non_topic_women[0, 5]",-0.077,165.466,-325.966,301.804,14.392,10.199,133.0,261.0,1.02
