,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,250.478,41.539,177.22,328.862,3.686,2.613,119.0,846.0,1.02
sigma_topic_women_men_diff,101.178,28.951,48.741,156.085,4.269,3.038,46.0,224.0,1.05
sigma_nontopic_women,277.004,9.589,258.947,294.943,1.82,1.301,28.0,110.0,1.09
sigma_nontopic_men,325.879,11.745,303.988,347.93,3.025,2.182,15.0,80.0,1.17
popularity_topic_all[0],-71.089,87.036,-234.905,91.36,0.668,0.473,16961.0,32521.0,1.0
popularity_topic_all[1],35.513,72.779,-103.28,170.267,7.026,4.981,107.0,2412.0,1.03
popularity_topic_all[2],-38.009,89.658,-206.163,130.302,0.716,0.506,15672.0,36153.0,1.0
popularity_topic_all[3],-358.688,176.014,-676.361,-19.768,9.557,6.764,347.0,1654.0,1.01
popularity_topic_all[4],-173.712,66.68,-298.249,-48.273,12.39,8.851,29.0,107.0,1.08
popularity_topic_all[5],13.805,82.95,-142.528,169.311,0.649,0.459,16345.0,33017.0,1.0
popularity_topic_all[6],-44.281,42.521,-124.387,35.426,3.083,2.184,190.0,14008.0,1.02
popularity_topic_all[7],30.827,76.814,-113.003,175.222,0.616,0.436,15559.0,30523.0,1.0
popularity_topic_all[8],-284.516,73.841,-424.215,-146.097,0.551,0.39,17956.0,36873.0,1.0
popularity_topic_all[9],-103.576,31.055,-163.568,-46.65,5.389,3.845,33.0,203.0,1.07
popularity_topic_all[10],-308.709,33.296,-370.044,-244.956,2.085,1.476,255.0,10905.0,1.02
popularity_topic_all[11],-308.683,60.685,-422.593,-193.832,3.754,2.658,261.0,20306.0,1.01
popularity_topic_all[12],-92.719,40.912,-171.338,-17.154,3.892,2.759,111.0,1334.0,1.03
popularity_topic_all[13],-576.467,46.9,-663.838,-488.503,12.169,8.78,15.0,67.0,1.18
popularity_topic_all[14],-123.83,43.452,-205.415,-42.524,0.494,0.349,7744.0,21078.0,1.01
popularity_topic_all[15],-53.916,46.454,-139.514,34.588,2.51,1.777,343.0,15978.0,1.01
popularity_topic_all[16],-142.628,53.211,-241.815,-45.561,17.912,13.109,9.0,58.0,1.35
popularity_topic_all[17],-123.485,40.631,-197.967,-45.117,2.874,2.035,200.0,12853.0,1.02
popularity_topic_all[18],-335.759,70.207,-468.173,-205.023,13.892,10.018,26.0,134.0,1.1
popularity_topic_all[19],-558.471,53.799,-659.224,-456.965,8.489,6.047,40.0,222.0,1.06
popularity_topic_all[20],272.137,101.417,78.163,459.017,0.731,0.517,19237.0,38074.0,1.0
popularity_topic_all[21],-51.612,40.965,-129.411,24.531,2.785,1.972,217.0,13675.0,1.02
popularity_topic_all[22],-37.678,31.277,-95.181,22.42,1.138,0.805,761.0,15694.0,1.01
popularity_topic_all[23],-69.189,35.855,-135.829,-1.379,0.387,0.274,8592.0,18939.0,1.01
popularity_topic_all[24],-173.148,42.079,-251.762,-93.587,2.7,1.912,243.0,9313.0,1.02
popularity_topic_women_men_diff[0],57.935,92.222,-115.226,233.457,0.595,1.027,26503.0,26071.0,1.0
popularity_topic_women_men_diff[1],-10.032,83.539,-172.314,145.164,3.877,2.743,480.0,1328.0,1.01
popularity_topic_women_men_diff[2],23.306,90.038,-145.017,198.192,0.499,1.407,35877.0,19396.0,1.0
popularity_topic_women_men_diff[3],-55.234,106.994,-267.229,139.258,2.868,3.059,1479.0,5025.0,1.01
popularity_topic_women_men_diff[4],49.918,81.061,-102.028,205.756,7.61,5.395,114.0,970.0,1.02
popularity_topic_women_men_diff[5],5.567,87.275,-161.845,171.117,0.427,0.354,42260.0,50442.0,1.0
popularity_topic_women_men_diff[6],-11.308,62.858,-129.067,108.625,0.506,0.358,15415.0,27657.0,1.0
popularity_topic_women_men_diff[7],16.426,84.928,-144.294,179.327,0.456,0.479,35331.0,40901.0,1.0
popularity_topic_women_men_diff[8],52.798,85.293,-103.398,219.366,0.566,1.758,28750.0,39525.0,1.0
popularity_topic_women_men_diff[9],-41.448,47.241,-131.694,46.475,9.001,6.433,28.0,137.0,1.09
popularity_topic_women_men_diff[10],-39.907,50.765,-137.029,54.452,0.782,0.553,4237.0,25869.0,1.01
popularity_topic_women_men_diff[11],-35.281,75.093,-180.696,104.314,0.459,0.325,26984.0,39173.0,1.0
popularity_topic_women_men_diff[12],46.744,59.611,-62.313,162.23,2.97,2.102,419.0,17306.0,1.01
popularity_topic_women_men_diff[13],245.358,80.296,97.937,399.075,13.236,9.862,38.0,81.0,1.07
popularity_topic_women_men_diff[14],-67.858,61.844,-188.8,45.232,0.506,0.359,15039.0,29689.0,1.0
popularity_topic_women_men_diff[15],57.748,67.234,-64.998,187.922,0.797,0.563,7276.0,22278.0,1.01
popularity_topic_women_men_diff[16],105.986,84.02,-45.255,265.032,27.58,20.15,9.0,61.0,1.33
popularity_topic_women_men_diff[17],-20.358,57.886,-128.765,89.551,0.498,0.352,13516.0,25410.0,1.0
popularity_topic_women_men_diff[18],43.191,81.88,-109.81,200.345,9.955,7.07,67.0,676.0,1.04
popularity_topic_women_men_diff[19],50.745,72.993,-86.356,189.751,10.315,7.337,50.0,338.0,1.05
popularity_topic_women_men_diff[20],11.891,92.742,-168.272,185.386,0.407,0.594,53339.0,53452.0,1.0
popularity_topic_women_men_diff[21],-4.115,57.74,-114.544,103.813,0.501,0.354,13308.0,24950.0,1.0
popularity_topic_women_men_diff[22],-23.122,48.263,-115.476,66.733,0.469,0.332,10600.0,24001.0,1.0
popularity_topic_women_men_diff[23],67.703,54.871,-35.034,171.05,0.553,0.392,10037.0,23732.0,1.0
popularity_topic_women_men_diff[24],-34.191,60.102,-147.845,79.145,0.695,0.491,7506.0,26962.0,1.0
"popularity_module_non_topic_women[0, 0]",267.565,101.126,76.47,456.281,0.594,0.42,29002.0,59650.0,1.0
"popularity_module_non_topic_women[0, 1]",-86.547,127.325,-322.423,155.361,0.648,0.458,38440.0,66368.0,1.0
"popularity_module_non_topic_women[0, 2]",-474.9,280.222,-1086.45,-71.073,2.725,2.184,15476.0,14011.0,1.0
"popularity_module_non_topic_women[0, 3]",0.99,106.769,-202.679,199.021,0.594,0.42,32241.0,61656.0,1.0
