,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,254.518,41.768,180.7,333.293,3.187,2.257,162.0,2190.0,1.02
sigma_topic_women_men_diff,102.839,29.994,48.766,159.543,5.922,4.236,25.0,134.0,1.1
sigma_nontopic_women,275.698,9.781,258.156,294.763,2.151,1.543,21.0,121.0,1.12
sigma_nontopic_men,322.251,11.307,301.022,343.294,2.876,2.073,16.0,96.0,1.17
popularity_topic_all[0],-74.099,86.574,-236.093,89.292,0.963,0.681,8085.0,15928.0,1.0
popularity_topic_all[1],35.053,72.065,-100.634,169.922,6.91,4.899,109.0,11095.0,1.03
popularity_topic_all[2],-40.46,89.618,-206.361,130.332,0.945,0.669,8988.0,18694.0,1.0
popularity_topic_all[3],-362.187,177.587,-680.785,-19.751,13.571,9.613,175.0,847.0,1.01
popularity_topic_all[4],-173.456,66.343,-296.033,-48.293,12.261,8.758,29.0,126.0,1.09
popularity_topic_all[5],12.775,82.611,-142.069,168.123,0.917,0.648,8115.0,16398.0,1.0
popularity_topic_all[6],-48.816,41.915,-125.984,31.718,1.121,0.793,1375.0,8962.0,1.01
popularity_topic_all[7],28.77,76.002,-115.29,170.32,0.848,0.599,8039.0,14656.0,1.0
popularity_topic_all[8],-286.552,73.157,-425.053,-149.599,0.752,0.532,9458.0,18468.0,1.0
popularity_topic_all[9],-108.091,30.314,-164.8,-51.035,4.598,3.273,43.0,575.0,1.06
popularity_topic_all[10],-312.368,32.745,-373.387,-249.91,1.705,1.206,370.0,8589.0,1.02
popularity_topic_all[11],-314.566,59.894,-424.619,-198.866,1.67,1.181,1279.0,11006.0,1.01
popularity_topic_all[12],-89.038,39.591,-162.633,-13.72,0.816,0.578,2364.0,8599.0,1.01
popularity_topic_all[13],-588.992,45.176,-673.107,-504.619,11.586,8.355,15.0,113.0,1.17
popularity_topic_all[14],-126.065,43.289,-207.202,-44.777,0.683,0.483,4009.0,10908.0,1.01
popularity_topic_all[15],-58.001,45.715,-142.756,29.543,1.598,1.13,819.0,9791.0,1.01
popularity_topic_all[16],-147.982,54.519,-246.825,-47.525,19.016,13.954,8.0,55.0,1.39
popularity_topic_all[17],-127.452,40.362,-202.231,-50.898,2.146,1.519,357.0,7846.0,1.02
popularity_topic_all[18],-346.97,69.675,-480.672,-219.678,15.224,10.919,21.0,208.0,1.12
popularity_topic_all[19],-567.297,51.637,-664.779,-470.774,5.652,4.01,84.0,1154.0,1.03
popularity_topic_all[20],272.258,100.576,80.054,458.86,1.027,0.726,9587.0,18100.0,1.0
popularity_topic_all[21],-56.286,40.71,-131.878,21.272,2.732,1.935,222.0,7762.0,1.02
popularity_topic_all[22],-40.023,30.883,-98.796,17.428,0.527,0.373,3435.0,8116.0,1.01
popularity_topic_all[23],-71.577,35.499,-137.554,-4.124,0.541,0.383,4302.0,9240.0,1.01
popularity_topic_all[24],-177.372,41.63,-254.633,-98.459,2.887,2.044,209.0,3337.0,1.02
popularity_topic_women_men_diff[0],59.954,93.451,-117.079,236.238,0.896,2.345,11743.0,8728.0,1.01
popularity_topic_women_men_diff[1],-11.775,84.061,-174.449,144.972,4.15,2.936,427.0,1333.0,1.01
popularity_topic_women_men_diff[2],25.102,91.292,-145.021,202.113,0.693,2.789,18365.0,6909.0,1.01
popularity_topic_women_men_diff[3],-56.923,109.394,-274.934,139.269,6.303,4.963,353.0,748.0,1.01
popularity_topic_women_men_diff[4],49.614,81.031,-103.854,204.461,6.338,4.49,160.0,10513.0,1.02
popularity_topic_women_men_diff[5],5.979,88.237,-160.492,176.525,0.619,0.629,20534.0,24442.0,1.01
popularity_topic_women_men_diff[6],-9.776,62.87,-127.188,111.159,0.749,0.53,7045.0,12716.0,1.0
popularity_topic_women_men_diff[7],18.844,85.866,-142.33,185.021,0.667,1.025,16890.0,19416.0,1.0
popularity_topic_women_men_diff[8],54.698,86.526,-101.06,226.43,1.848,2.511,2367.0,18823.0,1.01
popularity_topic_women_men_diff[9],-40.696,46.701,-130.308,45.384,8.477,6.053,30.0,198.0,1.09
popularity_topic_women_men_diff[10],-37.992,50.486,-133.847,56.174,0.93,0.658,2983.0,11816.0,1.01
popularity_topic_women_men_diff[11],-35.252,75.779,-181.014,106.597,0.668,0.475,12995.0,18675.0,1.0
popularity_topic_women_men_diff[12],42.539,58.691,-66.199,155.753,0.796,0.563,5443.0,12250.0,1.0
popularity_topic_women_men_diff[13],252.348,82.743,96.398,406.4,18.426,13.613,20.0,56.0,1.13
popularity_topic_women_men_diff[14],-68.867,62.256,-189.734,45.065,0.728,0.515,7395.0,13700.0,1.0
popularity_topic_women_men_diff[15],60.346,67.769,-62.98,191.599,1.341,1.025,3708.0,8151.0,1.01
popularity_topic_women_men_diff[16],113.264,87.522,-39.301,280.544,30.315,22.234,8.0,57.0,1.39
popularity_topic_women_men_diff[17],-19.284,58.624,-126.129,94.856,0.725,0.513,6566.0,11992.0,1.0
popularity_topic_women_men_diff[18],38.46,83.087,-115.181,200.313,12.473,8.878,45.0,325.0,1.06
popularity_topic_women_men_diff[19],60.133,72.389,-75.017,197.328,7.361,5.221,96.0,2085.0,1.03
popularity_topic_women_men_diff[20],13.002,94.593,-168.03,191.249,0.6,0.846,25430.0,25186.0,1.01
popularity_topic_women_men_diff[21],-2.312,57.686,-110.974,107.005,0.729,0.515,6274.0,11551.0,1.0
popularity_topic_women_men_diff[22],-23.75,48.29,-117.403,63.711,0.684,0.484,4989.0,12184.0,1.0
popularity_topic_women_men_diff[23],68.097,54.938,-36.241,170.141,0.832,0.596,4427.0,10984.0,1.01
popularity_topic_women_men_diff[24],-33.109,59.802,-144.895,80.291,0.858,0.607,4860.0,12716.0,1.0
"popularity_module_non_topic_women[0, 0]",265.796,100.783,76.326,454.409,0.859,0.608,13740.0,28559.0,1.0
"popularity_module_non_topic_women[0, 1]",-88.171,127.248,-324.424,153.224,0.909,0.643,19489.0,33189.0,1.0
"popularity_module_non_topic_women[0, 2]",-470.784,277.476,-1086.49,-73.471,3.905,3.141,7626.0,6711.0,1.0
"popularity_module_non_topic_women[0, 3]",0.815,106.361,-197.678,202.693,0.845,0.597,15823.0,30024.0,1.0
"popularity_module_non_topic_women[0, 4]",-727.712,210.69,-1023.6,-216.371,3.438,2.431,5115.0,7275.0,1.0
"popularity_module_non_topic_women[0, 5]",-69.106,111.601,-280.984,139.799,0.946,0.669,13884.0,27208.0,1.0
"popularity_module_non_topic_women[0, 6]",0.561,105.645,-196.203,199.811,0.831,0.588,16133.0,30454.0,1.0
"popularity_module_non_topic_women[0, 7]",388.263,102.731,195.505,581.654,0.888,0.628,13393.0,29654.0,1.0
"popularity_module_non_topic_women[0, 8]",330.391,108.065,127.402,532.256,1.107,0.783,9521.0,25793.0,1.0
"popularity_module_non_topic_women[0, 9]",147.258,105.904,-51.863,345.394,1.008,0.713,11031.0,22251.0,1.0
"popularity_module_non_topic_women[0, 10]",138.729,131.77,-106.956,386.278,0.91,0.643,20986.0,34815.0,1.0
"popularity_module_non_topic_women[0, 11]",8.316,110.044,-201.071,214.12,0.875,0.619,15789.0,28840.0,1.0
"popularity_module_non_topic_women[0, 12]",72.363,99.275,-113.915,257.95,0.835,0.59,14123.0,26217.0,1.0
"popularity_module_non_topic_women[0, 13]",-0.929,274.551,-514.376,519.127,0.997,1.104,75801.0,47230.0,1.0
"popularity_module_non_topic_women[0, 14]",-1.365,277.485,-527.453,519.322,0.968,1.152,82135.0,47915.0,1.0
"popularity_module_non_topic_women[0, 15]",-0.842,275.372,-521.015,515.494,0.993,1.132,76905.0,46790.0,1.0
"popularity_module_non_topic_women[0, 16]",0.457,275.393,-511.272,520.045,1.0,1.132,75813.0,47255.0,1.0
"popularity_module_non_topic_women[0, 17]",-0.45,273.785,-517.852,509.574,0.923,1.165,87945.0,47756.0,1.0
"popularity_module_non_topic_women[0, 18]",-0.224,276.268,-530.876,511.457,0.976,1.137,80134.0,47504.0,1.0
"popularity_module_non_topic_women[0, 19]",2.23,276.384,-518.486,517.027,0.962,1.125,82604.0,47691.0,1.0
"popularity_module_non_topic_women[0, 20]",-0.165,276.987,-519.376,522.022,0.899,1.187,94965.0,48416.0,1.0
"popularity_module_non_topic_women[0, 21]",-0.263,275.398,-515.011,515.862,0.929,1.173,87934.0,47213.0,1.0
"popularity_module_non_topic_women[0, 22]",-0.984,276.056,-529.476,501.698,1.002,1.114,75837.0,49599.0,1.0
"popularity_module_non_topic_women[0, 23]",-0.084,276.549,-515.454,523.681,0.943,1.151,85994.0,46291.0,1.0
"popularity_module_non_topic_women[0, 24]",-1.989,274.833,-512.609,518.158,0.909,1.14,91423.0,47855.0,1.0
"popularity_module_non_topic_women[0, 25]",0.838,273.635,-510.05,521.848,0.919,1.129,88697.0,49651.0,1.0
"popularity_module_non_topic_women[0, 26]",-0.587,275.043,-529.362,504.16,1.016,1.109,73283.0,50088.0,1.0
"popularity_module_non_topic_women[0, 27]",0.977,275.381,-514.41,518.954,0.941,1.139,85632.0,50080.0,1.0
"popularity_module_non_topic_women[0, 28]",1.471,276.042,-516.386,516.86,0.912,1.18,91518.0,49160.0,1.0
"popularity_module_non_topic_women[0, 29]",1.331,275.472,-519.256,514.947,0.941,1.163,85778.0,47144.0,1.0
"popularity_module_non_topic_women[0, 30]",-1.436,276.961,-519.366,518.036,0.968,1.167,81936.0,47178.0,1.0
"popularity_module_non_topic_women[0, 31]",1.188,276.465,-512.232,526.395,0.897,1.183,95002.0,46374.0,1.0
"popularity_module_non_topic_women[0, 32]",0.782,276.326,-520.27,515.742,0.954,1.15,83995.0,48237.0,1.0
"popularity_module_non_topic_women[0, 33]",-0.76,275.023,-527.9,506.291,0.961,1.14,81821.0,47590.0,1.0
"popularity_module_non_topic_women[0, 34]",-1.218,276.134,-523.272,512.411,0.905,1.179,93252.0,46970.0,1.0
"popularity_module_non_topic_women[0, 35]",0.118,274.41,-511.409,519.416,0.896,1.165,93751.0,48942.0,1.0
"popularity_module_non_topic_women[0, 36]",-0.134,276.264,-512.393,527.427,0.976,1.118,80139.0,49046.0,1.0
"popularity_module_non_topic_women[0, 37]",0.36,277.241,-530.102,510.899,0.975,1.142,80902.0,48723.0,1.0
"popularity_module_non_topic_women[0, 38]",-0.303,277.04,-526.682,515.807,0.937,1.161,87507.0,49175.0,1.0
"popularity_module_non_topic_women[0, 39]",-0.358,277.404,-524.992,518.86,0.938,1.171,87467.0,48096.0,1.0
"popularity_module_non_topic_women[0, 40]",-2.04,275.326,-521.251,513.207,0.897,1.169,94303.0,48416.0,1.0
"popularity_module_non_topic_women[0, 41]",-0.492,274.785,-519.169,515.455,0.954,1.12,82988.0,48702.0,1.0
"popularity_module_non_topic_women[0, 42]",-0.388,276.555,-518.783,514.103,0.971,1.151,80862.0,47027.0,1.0
"popularity_module_non_topic_women[0, 43]",-0.432,275.032,-519.399,509.406,0.93,1.155,87484.0,48348.0,1.0
"popularity_module_non_topic_women[0, 44]",-0.653,275.119,-536.206,499.512,0.919,1.136,89705.0,47671.0,1.0
"popularity_module_non_topic_women[0, 45]",0.667,275.864,-515.885,521.644,0.922,1.179,89531.0,48999.0,1.0
"popularity_module_non_topic_women[0, 46]",0.535,276.193,-504.87,534.287,0.99,1.112,77854.0,50298.0,1.0
"popularity_module_non_topic_women[0, 47]",0.46,276.589,-508.556,529.805,0.933,1.154,87953.0,48454.0,1.0
"popularity_module_non_topic_women[0, 48]",-1.522,276.244,-526.962,514.573,0.944,1.13,85640.0,48110.0,1.0
"popularity_module_non_topic_women[0, 49]",-0.884,275.064,-524.999,507.687,0.918,1.151,89764.0,49438.0,1.0
