,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[0, 5]",-67.675,112.692,-277.948,146.293,0.37,0.262,92494.0,183382.0,1.0
"popularity_module_non_topic_women[0, 6]",-0.237,107.089,-202.86,200.084,0.331,0.234,104472.0,191986.0,1.0
"popularity_module_non_topic_women[0, 7]",379.025,104.135,184.702,576.573,1.059,0.749,9679.0,162281.0,1.0
"popularity_module_non_topic_women[0, 8]",337.854,108.948,132.961,542.395,0.393,0.278,76289.0,165317.0,1.0
"popularity_module_non_topic_women[0, 9]",137.577,106.542,-62.4,337.835,0.402,0.284,70229.0,148625.0,1.0
"popularity_module_non_topic_women[0, 10]",142.171,132.961,-110.244,388.433,0.627,0.443,43125.0,225771.0,1.0
"popularity_module_non_topic_women[0, 11]",10.954,111.29,-200.553,218.437,0.348,0.246,102150.0,192096.0,1.0
"popularity_module_non_topic_women[0, 12]",71.476,100.669,-118.283,259.534,0.328,0.232,93902.0,176373.0,1.0
"popularity_module_non_topic_women[0, 13]",0.039,279.976,-530.017,522.18,0.41,0.456,466698.0,303190.0,1.0
"popularity_module_non_topic_women[0, 14]",0.442,280.188,-525.39,530.705,0.395,0.467,504012.0,297621.0,1.0
"popularity_module_non_topic_women[0, 15]",0.074,279.559,-521.295,529.243,0.406,0.458,473302.0,300749.0,1.0
"popularity_module_non_topic_women[0, 16]",0.349,280.624,-525.758,529.641,0.405,0.459,480663.0,304468.0,1.0
"popularity_module_non_topic_women[0, 17]",0.259,280.03,-533.561,518.856,0.381,0.471,541649.0,299760.0,1.0
"popularity_module_non_topic_women[0, 18]",-0.604,280.391,-529.596,526.158,0.391,0.468,513567.0,297963.0,1.0
"popularity_module_non_topic_women[0, 19]",0.465,279.781,-523.216,527.985,0.387,0.466,523478.0,299489.0,1.0
"popularity_module_non_topic_women[0, 20]",0.033,280.652,-525.553,529.515,0.366,0.487,588737.0,291157.0,1.0
"popularity_module_non_topic_women[0, 21]",-0.001,278.958,-527.015,522.333,0.379,0.465,542051.0,300833.0,1.0
"popularity_module_non_topic_women[0, 22]",0.18,280.019,-530.569,521.472,0.406,0.459,475073.0,298521.0,1.0
"popularity_module_non_topic_women[0, 23]",0.261,280.238,-525.386,528.324,0.386,0.466,526912.0,304832.0,1.0
"popularity_module_non_topic_women[0, 24]",-0.118,280.314,-529.954,523.015,0.377,0.474,552320.0,301822.0,1.0
"popularity_module_non_topic_women[0, 25]",0.547,279.154,-526.629,523.88,0.372,0.466,563400.0,306266.0,1.0
"popularity_module_non_topic_women[0, 26]",0.111,280.693,-524.232,531.903,0.415,0.459,457999.0,303117.0,1.0
"popularity_module_non_topic_women[0, 27]",0.766,279.733,-516.625,534.701,0.392,0.467,508642.0,299798.0,1.0
"popularity_module_non_topic_women[0, 28]",0.335,281.303,-527.259,531.643,0.387,0.47,528427.0,301950.0,1.0
"popularity_module_non_topic_women[0, 29]",0.537,279.792,-523.284,529.293,0.387,0.469,523498.0,296461.0,1.0
"popularity_module_non_topic_women[0, 30]",0.015,280.366,-522.734,530.294,0.392,0.467,512723.0,304347.0,1.0
"popularity_module_non_topic_women[0, 31]",0.315,279.344,-519.579,530.163,0.369,0.47,572699.0,301605.0,1.0
"popularity_module_non_topic_women[0, 32]",0.38,280.665,-525.979,530.9,0.383,0.466,537598.0,303896.0,1.0
"popularity_module_non_topic_women[0, 33]",-1.091,280.403,-523.268,531.361,0.402,0.471,486858.0,293830.0,1.0
"popularity_module_non_topic_women[0, 34]",-0.352,279.805,-524.14,526.637,0.378,0.47,549036.0,298004.0,1.0
"popularity_module_non_topic_women[0, 35]",0.132,280.31,-529.588,523.214,0.375,0.484,558441.0,296651.0,1.0
"popularity_module_non_topic_women[0, 36]",0.224,280.307,-521.322,532.133,0.4,0.461,490529.0,303034.0,1.0
"popularity_module_non_topic_women[0, 37]",-0.644,280.319,-531.248,522.287,0.397,0.465,498793.0,300672.0,1.0
"popularity_module_non_topic_women[0, 38]",-0.401,280.412,-527.37,528.154,0.384,0.471,532511.0,302210.0,1.0
"popularity_module_non_topic_women[0, 39]",-0.029,281.02,-530.965,524.782,0.382,0.477,540736.0,297702.0,1.0
"popularity_module_non_topic_women[0, 40]",-0.498,280.616,-536.515,518.591,0.366,0.487,587809.0,293117.0,1.0
"popularity_module_non_topic_women[0, 41]",0.677,279.728,-524.065,527.6,0.396,0.468,498618.0,294460.0,1.0
"popularity_module_non_topic_women[0, 42]",0.193,280.613,-521.06,533.822,0.396,0.467,501758.0,299699.0,1.0
"popularity_module_non_topic_women[0, 43]",0.288,280.926,-526.835,529.813,0.389,0.479,522491.0,295398.0,1.0
"popularity_module_non_topic_women[0, 44]",-0.042,279.432,-525.079,526.309,0.379,0.472,544025.0,299137.0,1.0
"popularity_module_non_topic_women[0, 45]",0.693,280.121,-527.878,526.294,0.375,0.477,556852.0,297365.0,1.0
"popularity_module_non_topic_women[0, 46]",0.434,280.602,-522.642,531.59,0.407,0.457,474537.0,305305.0,1.0
"popularity_module_non_topic_women[0, 47]",0.195,281.0,-524.536,532.395,0.388,0.473,523183.0,297304.0,1.0
"popularity_module_non_topic_women[0, 48]",0.539,280.688,-526.005,528.986,0.389,0.469,519365.0,302700.0,1.0
"popularity_module_non_topic_women[0, 49]",0.37,280.127,-520.446,533.286,0.382,0.468,536634.0,301423.0,1.0
"popularity_module_non_topic_women[0, 50]",0.123,280.093,-532.527,522.604,0.374,0.479,561865.0,302578.0,1.0
"popularity_module_non_topic_women[0, 51]",0.753,280.916,-527.758,527.675,0.375,0.475,562467.0,304292.0,1.0
"popularity_module_non_topic_women[0, 52]",0.05,280.309,-524.041,531.792,0.396,0.455,501736.0,305517.0,1.0
"popularity_module_non_topic_women[0, 53]",-0.075,279.961,-529.406,524.683,0.358,0.489,610788.0,293597.0,1.0
"popularity_module_non_topic_women[1, 0]",133.248,109.193,-70.535,340.528,0.439,0.311,61736.0,142598.0,1.0
"popularity_module_non_topic_women[1, 1]",390.043,118.827,165.759,611.699,20.203,14.408,35.0,213.0,1.07
"popularity_module_non_topic_women[1, 2]",31.138,118.177,-194.323,251.107,1.735,1.227,4648.0,132741.0,1.0
"popularity_module_non_topic_women[1, 3]",-61.031,92.92,-236.107,113.955,0.431,0.305,46418.0,128917.0,1.0
"popularity_module_non_topic_women[1, 4]",-379.941,490.114,-1303.81,102.09,239.091,184.988,7.0,24.0,1.53
"popularity_module_non_topic_women[1, 5]",-254.371,672.294,-1064.67,586.709,300.937,226.64,7.0,74.0,1.52
"popularity_module_non_topic_women[1, 6]",124.581,99.496,-64.723,309.711,4.925,3.485,409.0,33076.0,1.01
