,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,329.631,43.284,254.778,390.323,9.861,7.081,19.0,19.0,0.93
sigma_topic_women_men_diff,66.263,17.729,42.615,96.728,4.039,2.9,19.0,19.0,1.89
sigma_nontopic_women,261.768,7.887,248.071,273.214,1.797,1.29,19.0,19.0,1.51
sigma_nontopic_men,331.252,9.115,314.265,341.548,2.077,1.491,19.0,19.0,1.15
popularity_topic_all[0],34.692,209.123,-243.381,390.133,47.644,34.213,19.0,19.0,1.16
popularity_topic_all[1],-49.083,98.367,-155.534,143.393,22.411,16.093,19.0,19.0,1.89
popularity_topic_all[2],-28.146,155.339,-280.772,200.608,35.39,25.414,19.0,19.0,1.7
popularity_topic_all[3],-149.796,86.321,-249.434,8.295,19.666,14.122,19.0,16.0,1.12
popularity_topic_all[4],-30.793,326.848,-473.743,581.797,74.465,53.473,19.0,19.0,1.22
popularity_topic_all[5],27.898,507.399,-748.107,855.418,115.599,83.011,19.0,19.0,1.35
popularity_topic_all[6],-965.001,118.602,-1158.62,-818.48,27.021,19.404,19.0,19.0,1.08
popularity_topic_all[7],-106.897,399.268,-932.295,404.48,90.964,65.321,19.0,19.0,1.39
popularity_topic_all[8],-99.044,247.396,-496.636,301.368,56.364,40.475,19.0,16.0,1.42
popularity_topic_all[9],14.542,347.065,-548.269,502.887,79.071,56.781,19.0,16.0,0.97
popularity_topic_all[10],104.364,329.863,-334.952,749.757,75.152,53.966,19.0,16.0,1.14
popularity_topic_all[11],-422.867,471.138,-961.778,411.454,107.338,77.079,19.0,19.0,2.94
popularity_topic_all[12],21.521,87.167,-132.145,144.155,19.859,14.261,19.0,16.0,1.45
popularity_topic_all[13],-1.309,88.022,-176.85,139.511,20.054,14.401,19.0,16.0,1.29
popularity_topic_all[14],-86.81,30.378,-121.419,-25.172,6.921,4.97,19.0,19.0,1.6
popularity_topic_all[15],50.335,291.513,-501.491,380.907,66.415,47.692,19.0,16.0,1.08
popularity_topic_all[16],-18.793,301.447,-551.523,395.891,68.678,49.317,19.0,19.0,1.12
popularity_topic_all[17],-2.955,327.046,-431.863,491.348,74.51,53.505,19.0,19.0,1.03
popularity_topic_all[18],50.112,128.811,-143.328,220.63,29.347,21.074,19.0,16.0,2.47
popularity_topic_all[19],-294.876,42.325,-376.436,-221.068,9.643,6.925,19.0,19.0,1.03
popularity_topic_all[20],-90.861,18.91,-119.89,-65.899,4.308,3.094,19.0,16.0,1.51
popularity_topic_all[21],-320.938,22.836,-368.747,-294.335,5.203,3.736,19.0,19.0,1.67
popularity_topic_all[22],-312.921,66.396,-406.58,-228.11,15.127,10.863,19.0,19.0,2.35
popularity_topic_all[23],-62.023,38.812,-105.581,-6.183,8.842,6.35,19.0,16.0,1.93
