,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,272.248,58.329,170.786,377.44,19.583,14.33,9.0,72.0,1.38
sigma_topic_women_men_diff,184.309,50.17,99.309,277.161,14.682,10.653,13.0,80.0,1.26
sigma_nontopic_women,283.05,15.131,255.908,308.053,6.098,4.535,7.0,266.0,1.61
sigma_nontopic_men,317.267,23.279,279.824,354.423,10.673,8.065,5.0,40.0,2.03
popularity_topic_all[0],6.599,292.682,-538.525,578.265,6.343,8.845,2131.0,1060.0,1.02
popularity_topic_all[1],-53.827,97.561,-229.553,128.95,22.897,16.458,18.0,314.0,1.16
popularity_topic_all[2],-25.247,74.853,-161.004,121.691,2.877,2.134,667.0,877.0,1.02
popularity_topic_all[3],-249.279,172.719,-534.577,49.308,73.411,54.92,6.0,45.0,1.76
popularity_topic_all[4],7.194,269.273,-476.206,517.486,4.988,8.417,2888.0,923.0,1.02
popularity_topic_all[5],2.671,284.88,-547.04,554.085,5.691,9.955,2507.0,939.0,1.03
popularity_topic_all[6],-348.328,182.769,-683.221,-26.536,56.484,41.109,11.0,205.0,1.29
popularity_topic_all[7],9.55,282.415,-510.297,554.253,6.583,7.981,1902.0,956.0,1.02
popularity_topic_all[8],9.784,262.018,-527.013,504.815,4.825,8.07,2887.0,1014.0,1.02
popularity_topic_all[9],-0.611,287.55,-558.127,543.761,6.774,12.33,1880.0,600.0,1.02
popularity_topic_all[10],-3.603,254.616,-483.222,476.934,5.895,7.807,1919.0,932.0,1.0
popularity_topic_all[11],105.273,128.192,-126.72,339.155,15.521,11.023,69.0,1170.0,1.05
popularity_topic_all[12],-1.904,112.786,-195.481,188.652,45.099,33.508,7.0,309.0,1.6
popularity_topic_all[13],161.601,120.155,-52.756,377.065,42.552,31.264,8.0,61.0,1.44
popularity_topic_all[14],-58.83,80.52,-223.689,57.218,33.919,25.431,7.0,35.0,1.63
popularity_topic_all[15],-7.361,283.481,-597.353,507.92,5.881,11.317,2357.0,786.0,1.01
popularity_topic_all[16],0.423,275.512,-519.855,513.94,5.406,7.592,2600.0,1148.0,1.02
popularity_topic_all[17],-2.926,286.311,-532.811,539.938,5.994,10.093,2333.0,838.0,1.01
popularity_topic_all[18],-128.145,118.966,-316.089,107.884,45.327,33.515,8.0,35.0,1.45
popularity_topic_all[19],-863.085,242.449,-1200.393,-496.652,114.202,86.645,6.0,90.0,1.8
popularity_topic_all[20],-54.409,41.396,-130.004,20.306,15.591,11.516,7.0,47.0,1.54
popularity_topic_all[21],-165.915,79.098,-311.66,-53.086,35.963,27.389,6.0,45.0,1.97
popularity_topic_all[22],-268.281,66.759,-392.838,-145.772,16.078,11.567,17.0,184.0,1.17
popularity_topic_all[23],-44.78,44.455,-127.853,37.146,8.909,6.375,25.0,483.0,1.12
popularity_topic_all[24],-304.736,191.374,-626.27,-69.117,92.94,70.858,5.0,38.0,2.14
popularity_topic_all[25],-110.671,47.299,-209.378,-29.287,10.305,7.39,21.0,141.0,1.14
popularity_topic_all[26],17.144,63.884,-82.597,142.426,22.661,16.652,8.0,84.0,1.45
popularity_topic_all[27],-53.374,42.59,-139.009,23.419,2.762,1.955,238.0,435.0,1.02
popularity_topic_all[28],-80.668,50.013,-165.444,17.533,13.094,9.451,15.0,168.0,1.22
popularity_topic_all[29],-187.021,133.933,-436.216,10.891,60.633,46.481,6.0,33.0,1.91
popularity_topic_all[30],-516.516,56.942,-622.082,-415.456,13.97,10.057,17.0,177.0,1.17
popularity_topic_all[31],18.675,162.397,-266.188,323.436,5.336,4.087,924.0,720.0,1.01
popularity_topic_all[32],-2.617,46.783,-80.082,89.836,12.537,9.058,14.0,302.0,1.22
popularity_topic_all[33],5.905,46.796,-75.214,92.783,17.423,12.856,7.0,32.0,1.52
popularity_topic_all[34],-256.069,123.843,-434.573,-60.595,59.052,44.888,5.0,45.0,2.12
popularity_topic_all[35],57.18,118.969,-157.001,288.556,4.585,3.449,698.0,865.0,1.01
popularity_topic_all[36],-122.451,52.241,-222.681,-25.415,15.752,11.448,11.0,144.0,1.29
popularity_topic_women_men_diff[0],-5.018,199.418,-360.798,397.283,4.627,11.827,1917.0,783.0,1.03
popularity_topic_women_men_diff[1],147.209,139.44,-136.15,381.415,22.654,16.144,38.0,611.0,1.07
popularity_topic_women_men_diff[2],47.006,116.581,-160.686,274.877,4.04,3.26,847.0,752.0,1.01
popularity_topic_women_men_diff[3],107.544,178.315,-242.801,430.725,59.737,43.706,9.0,57.0,1.38
popularity_topic_women_men_diff[4],-0.353,191.706,-396.523,341.352,4.269,12.778,2040.0,852.0,1.04
popularity_topic_women_men_diff[5],-2.533,193.543,-388.379,340.286,4.472,6.951,1919.0,794.0,1.02
popularity_topic_women_men_diff[6],-129.487,195.145,-490.606,233.224,41.645,29.847,22.0,306.0,1.11
popularity_topic_women_men_diff[7],-0.469,194.155,-352.908,350.84,4.378,16.591,1985.0,328.0,1.03
popularity_topic_women_men_diff[8],2.204,192.523,-371.613,345.25,4.03,7.095,2279.0,990.0,1.02
popularity_topic_women_men_diff[9],-1.944,193.44,-392.986,378.806,4.352,9.075,2031.0,528.0,1.02
popularity_topic_women_men_diff[10],-4.736,189.884,-398.902,355.741,4.22,5.824,1974.0,992.0,1.01
popularity_topic_women_men_diff[11],44.266,165.32,-234.019,353.335,20.166,14.322,75.0,685.0,1.04
popularity_topic_women_men_diff[12],123.525,122.726,-93.481,350.032,32.408,23.399,14.0,310.0,1.2
popularity_topic_women_men_diff[13],-61.934,137.079,-311.153,196.493,29.605,21.226,21.0,294.0,1.13
