,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,362.976,45.247,278.226,448.436,6.031,4.287,51.0,51.0,1.06
sigma_topic_women_men_diff,57.047,34.952,10.965,122.429,14.979,11.217,6.0,27.0,1.89
sigma_nontopic_women,260.008,25.337,211.348,304.505,8.203,6.006,10.0,60.0,1.33
sigma_nontopic_men,339.86,37.92,270.371,409.135,13.859,10.242,8.0,52.0,1.48
popularity_topic_all[0],-361.457,86.69,-526.209,-211.929,29.149,22.305,9.0,25.0,1.36
popularity_topic_all[1],-881.427,239.126,-1319.576,-447.681,107.894,81.346,5.0,18.0,2.16
popularity_topic_all[2],-207.606,80.398,-357.101,-69.78,34.197,25.586,6.0,26.0,1.93
popularity_topic_all[3],147.017,122.447,-98.488,346.614,46.093,34.043,9.0,31.0,1.44
popularity_topic_all[4],188.115,171.773,-123.293,445.765,76.696,57.741,6.0,37.0,2.0
popularity_topic_all[5],-3.149,102.672,-246.312,179.22,41.209,30.63,7.0,12.0,1.64
popularity_topic_all[6],65.876,148.958,-205.88,308.563,59.048,43.832,7.0,19.0,1.62
popularity_topic_all[7],-61.242,108.582,-254.419,151.014,38.088,27.963,9.0,22.0,1.47
popularity_topic_all[8],-98.153,307.467,-646.425,384.505,127.474,95.088,6.0,18.0,1.7
popularity_topic_all[9],228.699,158.789,-17.119,587.721,73.239,56.495,5.0,14.0,2.09
popularity_topic_all[10],239.166,90.599,94.331,405.524,31.047,23.525,9.0,42.0,1.38
popularity_topic_all[11],-80.916,262.418,-573.101,406.96,93.966,69.1,8.0,12.0,1.47
popularity_topic_all[12],65.242,93.617,-134.664,207.48,37.768,28.088,8.0,15.0,1.48
popularity_topic_all[13],-53.359,233.156,-505.676,390.728,79.629,58.341,9.0,15.0,1.38
popularity_topic_all[14],313.307,89.319,133.922,458.488,33.821,25.074,7.0,16.0,1.59
popularity_topic_all[15],-547.718,155.261,-797.17,-243.393,48.552,35.362,11.0,20.0,1.28
popularity_topic_all[16],553.213,117.967,352.418,769.073,33.66,24.391,13.0,40.0,1.25
popularity_topic_all[17],504.994,127.067,278.251,721.084,47.746,35.344,7.0,31.0,1.58
popularity_topic_all[18],-676.341,87.937,-809.915,-492.815,36.847,27.52,6.0,11.0,1.71
popularity_topic_all[19],-7.529,92.798,-142.328,166.542,41.24,31.028,5.0,14.0,2.14
popularity_topic_all[20],56.276,97.944,-132.489,247.825,37.165,27.47,8.0,16.0,1.49
popularity_topic_all[21],-435.781,143.894,-699.784,-176.217,63.481,49.005,5.0,19.0,2.09
popularity_topic_all[22],-81.258,59.647,-204.311,24.376,23.337,17.3,7.0,12.0,1.66
popularity_topic_all[23],-193.717,117.604,-361.562,90.908,53.894,40.722,5.0,15.0,2.12
popularity_topic_all[24],-245.548,309.975,-808.187,245.72,137.504,103.43,5.0,11.0,2.2
popularity_topic_all[25],-595.84,156.19,-889.919,-291.047,70.319,53.0,5.0,12.0,2.26
popularity_topic_all[26],251.647,85.335,30.957,390.041,33.6,24.924,7.0,11.0,1.56
popularity_topic_all[27],333.558,162.093,75.703,659.545,52.474,38.302,10.0,25.0,1.36
popularity_topic_all[28],-603.314,76.773,-732.218,-455.716,31.856,23.765,6.0,20.0,1.77
popularity_topic_all[29],-339.511,201.123,-689.235,33.499,75.584,55.817,7.0,18.0,1.55
popularity_topic_all[30],163.522,84.141,42.523,330.077,38.787,29.333,5.0,16.0,2.28
popularity_topic_all[31],-81.832,67.37,-202.121,38.004,23.98,17.626,8.0,61.0,1.45
popularity_topic_all[32],137.561,130.331,-112.313,363.737,28.26,24.787,21.0,42.0,1.15
popularity_topic_all[33],272.868,69.715,150.51,402.646,28.433,21.17,6.0,18.0,1.75
popularity_topic_all[34],26.228,225.283,-451.588,368.203,75.325,55.103,9.0,17.0,1.37
popularity_topic_all[35],294.271,96.017,115.838,455.403,37.69,28.896,6.0,30.0,1.66
popularity_topic_all[36],-117.824,90.916,-317.274,26.618,38.805,29.046,6.0,16.0,1.94
popularity_topic_all[37],102.726,244.381,-265.416,571.811,93.275,68.98,7.0,44.0,1.53
popularity_topic_all[38],32.945,100.133,-174.36,181.189,34.809,25.537,9.0,29.0,1.39
popularity_topic_women_men_diff[0],35.182,61.384,-69.774,155.688,15.978,11.529,20.0,77.0,1.18
popularity_topic_women_men_diff[1],-5.247,50.651,-116.751,95.298,5.159,6.536,105.0,121.0,1.09
popularity_topic_women_men_diff[2],-3.802,48.347,-101.263,88.697,8.869,6.334,31.0,45.0,1.11
popularity_topic_women_men_diff[3],0.563,54.006,-95.653,109.631,11.674,8.37,22.0,26.0,1.17
popularity_topic_women_men_diff[4],22.116,66.289,-78.364,186.451,14.162,10.151,25.0,68.0,1.13
popularity_topic_women_men_diff[5],2.464,53.562,-100.953,114.995,7.83,8.011,48.0,61.0,1.14
popularity_topic_women_men_diff[6],-13.691,61.032,-146.871,103.615,17.746,12.871,14.0,27.0,1.23
popularity_topic_women_men_diff[7],12.145,65.966,-106.19,161.566,17.375,12.543,19.0,26.0,1.21
popularity_topic_women_men_diff[8],4.282,54.307,-109.196,110.801,5.514,5.796,96.0,115.0,1.11
popularity_topic_women_men_diff[9],-9.589,60.824,-143.272,98.285,12.673,10.838,33.0,16.0,1.2
popularity_topic_women_men_diff[10],-0.64,58.746,-120.385,127.792,17.788,12.931,13.0,15.0,1.23
popularity_topic_women_men_diff[11],-12.547,66.758,-148.092,98.348,9.017,6.589,74.0,69.0,1.18
popularity_topic_women_men_diff[12],-27.299,67.494,-172.943,85.661,24.617,18.13,9.0,21.0,1.39
popularity_topic_women_men_diff[13],-1.507,72.947,-202.267,110.375,8.908,11.194,86.0,33.0,1.18
popularity_topic_women_men_diff[14],-2.774,78.854,-171.312,164.644,28.057,20.622,9.0,13.0,1.4
popularity_topic_women_men_diff[15],13.709,69.426,-122.656,149.9,11.517,8.491,38.0,34.0,1.15
popularity_topic_women_men_diff[16],-31.274,81.018,-219.234,90.687,27.192,19.897,11.0,60.0,1.3
popularity_topic_women_men_diff[17],18.54,65.538,-102.471,146.45,15.582,11.205,33.0,20.0,1.13
popularity_topic_women_men_diff[18],13.337,53.341,-82.655,120.108,8.367,6.833,46.0,46.0,1.1
