,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,317.304,52.142,225.94,415.736,10.835,7.76,22.0,105.0,1.12
sigma_topic_women_men_diff,77.085,25.89,30.902,128.174,3.393,2.411,55.0,210.0,1.06
sigma_nontopic_women,262.597,8.568,246.714,278.906,0.917,0.651,87.0,3664.0,1.04
sigma_nontopic_men,328.145,13.996,303.453,353.908,5.095,3.752,8.0,70.0,1.44
popularity_topic_all[0],0.964,321.735,-616.33,599.075,2.223,2.542,21205.0,13427.0,1.0
popularity_topic_all[1],-63.819,88.471,-230.526,101.574,1.875,1.326,2226.0,4386.0,1.01
popularity_topic_all[2],-41.598,106.126,-252.395,133.579,40.316,29.802,8.0,29.0,1.43
popularity_topic_all[3],-114.214,95.237,-293.602,60.916,12.62,8.97,58.0,1114.0,1.06
popularity_topic_all[4],-1.491,320.978,-622.554,589.918,2.212,2.452,21332.0,13415.0,1.0
popularity_topic_all[5],-1.031,314.064,-592.825,587.572,2.103,2.418,22464.0,13729.0,1.0
popularity_topic_all[6],-993.911,115.964,-1210.084,-776.317,14.734,10.468,62.0,2075.0,1.05
popularity_topic_all[7],-2.876,316.524,-608.898,590.503,2.193,2.358,21160.0,13779.0,1.0
popularity_topic_all[8],-0.467,322.123,-590.952,628.429,2.043,2.619,24928.0,13091.0,1.0
popularity_topic_all[9],-0.613,324.291,-619.354,613.233,2.118,2.713,23617.0,13680.0,1.0
popularity_topic_all[10],1.06,324.708,-592.502,642.618,2.219,2.729,21638.0,13160.0,1.0
popularity_topic_all[11],-385.349,393.747,-937.93,316.751,186.607,141.713,5.0,28.0,2.06
popularity_topic_all[12],12.603,99.95,-155.893,209.45,38.13,28.197,7.0,34.0,1.5
popularity_topic_all[13],22.776,82.938,-136.896,173.132,1.695,1.198,2400.0,4919.0,1.0
popularity_topic_all[14],-35.584,44.463,-118.447,47.838,6.943,4.945,41.0,1487.0,1.07
popularity_topic_all[15],-3.694,320.871,-611.589,611.451,2.175,2.612,22060.0,13014.0,1.0
popularity_topic_all[16],0.0,322.812,-591.838,622.418,2.135,2.424,23034.0,14007.0,1.0
popularity_topic_all[17],1.198,326.361,-600.747,630.967,2.27,2.62,20890.0,13537.0,1.0
popularity_topic_all[18],39.994,77.951,-103.248,188.879,2.554,1.806,931.0,3908.0,1.01
popularity_topic_all[19],-288.512,75.354,-433.775,-151.539,4.605,3.26,270.0,4628.0,1.03
popularity_topic_all[20],-91.03,35.708,-156.989,-24.155,10.808,7.856,11.0,55.0,1.27
popularity_topic_all[21],-310.928,36.381,-376.94,-240.767,8.576,6.278,18.0,70.0,1.15
popularity_topic_all[22],-313.722,65.704,-434.492,-187.457,14.717,10.563,20.0,131.0,1.14
