,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_topic_all,269.514,36.871,205.327,326.899,4.918,3.8,64.0,61.0,1.22
sigma_topic_women_men_diff,78.568,11.092,62.772,100.122,2.565,1.843,18.0,35.0,1.36
sigma_nontopic_women,104.905,7.441,92.223,116.513,2.258,1.642,11.0,20.0,2.99
sigma_nontopic_men,176.774,7.392,164.825,189.847,2.14,1.552,13.0,35.0,2.05
popularity_topic_all[0],-14.436,133.306,-162.653,217.212,42.097,30.678,11.0,28.0,3.0
popularity_topic_all[1],45.758,12.295,24.87,66.584,3.392,2.496,14.0,39.0,1.73
popularity_topic_all[2],157.351,47.357,83.861,222.951,14.667,10.732,11.0,20.0,3.27
popularity_topic_all[3],-162.061,38.614,-216.757,-104.734,11.98,8.721,11.0,20.0,3.14
popularity_topic_all[4],25.572,74.687,-64.56,144.939,23.535,17.149,11.0,20.0,3.65
popularity_topic_all[5],-1.408,123.321,-240.497,84.035,38.902,28.348,12.0,20.0,2.27
popularity_topic_all[6],-451.405,51.781,-525.999,-388.78,16.236,11.827,11.0,28.0,2.9
popularity_topic_all[7],-31.731,30.087,-73.625,15.27,9.079,6.598,12.0,39.0,2.21
popularity_topic_all[8],88.041,35.917,30.96,144.95,10.758,7.815,12.0,20.0,2.34
popularity_topic_all[9],-29.63,149.079,-247.202,186.434,47.083,34.312,11.0,20.0,3.79
popularity_topic_all[10],-96.585,109.02,-248.641,49.916,34.351,25.03,11.0,20.0,3.69
popularity_topic_all[11],38.295,72.896,-33.085,158.851,22.927,16.704,12.0,28.0,2.27
popularity_topic_all[12],69.939,17.17,44.281,91.507,5.204,3.783,12.0,47.0,2.15
popularity_topic_all[13],65.106,10.517,47.663,81.758,2.526,1.817,18.0,30.0,1.41
popularity_topic_all[14],69.551,26.769,33.319,116.023,8.291,6.049,11.0,28.0,2.68
popularity_topic_all[15],-10.815,59.204,-123.084,49.733,18.474,13.453,11.0,20.0,2.48
popularity_topic_all[16],-4.136,51.022,-89.415,67.567,15.749,11.461,11.0,20.0,3.0
popularity_topic_all[17],-9.844,107.683,-177.053,154.96,33.932,24.725,11.0,20.0,3.14
popularity_topic_all[18],25.703,65.314,-60.698,121.436,20.381,14.842,11.0,28.0,2.94
popularity_topic_all[19],-134.438,40.25,-206.416,-89.111,12.53,9.162,11.0,30.0,2.38
popularity_topic_all[20],120.794,15.053,101.191,149.639,4.682,3.415,11.0,20.0,3.3
popularity_topic_all[21],-1.866,14.883,-23.867,21.101,4.6,3.348,11.0,35.0,2.91
popularity_topic_all[22],-1234.732,42.205,-1302.199,-1179.803,13.228,9.638,11.0,20.0,3.9
popularity_topic_all[23],44.73,14.839,22.912,70.23,4.333,3.144,13.0,30.0,1.87
popularity_topic_all[24],-43.991,11.259,-61.997,-24.457,3.37,2.448,12.0,39.0,2.32
popularity_topic_all[25],-257.849,11.749,-278.422,-240.474,3.435,2.492,13.0,47.0,1.98
popularity_topic_all[26],165.346,15.291,134.655,184.653,4.641,3.374,12.0,20.0,2.35
popularity_topic_all[27],138.324,15.742,118.437,161.088,4.835,3.518,13.0,64.0,2.03
popularity_topic_all[28],123.927,30.788,76.396,162.822,9.587,6.981,11.0,20.0,2.68
popularity_topic_all[29],-9.458,24.918,-47.292,29.566,7.523,5.467,11.0,47.0,2.44
popularity_topic_all[30],-212.055,22.967,-240.389,-170.797,7.158,5.212,12.0,39.0,2.41
popularity_topic_all[31],444.106,20.116,422.97,490.509,6.074,4.421,12.0,28.0,2.36
popularity_topic_all[32],73.18,14.609,56.482,99.177,4.484,3.287,13.0,30.0,1.92
popularity_topic_all[33],41.868,8.228,31.158,56.721,2.432,1.769,14.0,61.0,1.8
popularity_topic_all[34],33.055,18.466,13.857,64.07,5.752,4.212,12.0,30.0,2.37
popularity_topic_all[35],-230.878,41.851,-302.788,-179.412,13.023,9.49,12.0,20.0,2.27
popularity_topic_all[36],25.276,12.362,7.224,47.885,3.672,2.666,12.0,39.0,2.13
popularity_topic_women_men_diff[0],-5.318,52.03,-80.495,65.432,16.263,11.844,11.0,20.0,2.88
popularity_topic_women_men_diff[1],156.271,9.139,141.0,174.636,1.677,1.209,29.0,61.0,1.09
popularity_topic_women_men_diff[2],7.556,48.324,-38.671,95.906,15.118,11.011,12.0,35.0,2.09
popularity_topic_women_men_diff[3],4.349,28.749,-43.217,46.418,8.789,6.393,12.0,35.0,2.31
popularity_topic_women_men_diff[4],-4.84,58.257,-120.014,45.853,18.058,13.145,12.0,20.0,1.85
popularity_topic_women_men_diff[5],-17.512,56.729,-90.294,69.891,17.684,12.877,11.0,20.0,2.91
popularity_topic_women_men_diff[6],205.502,39.088,145.116,257.764,12.2,8.885,11.0,20.0,2.85
popularity_topic_women_men_diff[7],-3.819,75.597,-131.508,98.091,23.818,17.355,11.0,20.0,3.34
popularity_topic_women_men_diff[8],-55.705,44.552,-120.073,6.723,13.927,10.172,11.0,20.0,3.65
popularity_topic_women_men_diff[9],-46.795,77.698,-141.122,49.11,24.363,17.747,11.0,20.0,2.37
popularity_topic_women_men_diff[10],-10.549,29.864,-62.596,25.923,8.972,6.519,14.0,20.0,1.61
popularity_topic_women_men_diff[11],66.038,64.528,-19.922,162.043,20.287,14.78,11.0,20.0,2.96
popularity_topic_women_men_diff[12],21.26,11.561,3.902,43.2,2.967,2.14,15.0,20.0,1.48
popularity_topic_women_men_diff[13],29.68,30.308,-9.429,74.703,9.13,6.635,12.0,28.0,2.12
popularity_topic_women_men_diff[14],-30.397,42.329,-102.701,29.213,13.204,9.649,11.0,30.0,2.82
popularity_topic_women_men_diff[15],-2.581,95.993,-114.775,133.453,30.255,22.046,11.0,28.0,3.11
popularity_topic_women_men_diff[16],31.793,61.769,-52.024,107.186,19.231,14.002,11.0,47.0,2.52
popularity_topic_women_men_diff[17],34.775,54.692,-42.904,136.517,16.903,12.302,11.0,20.0,3.38
popularity_topic_women_men_diff[18],17.177,53.277,-64.296,97.975,16.468,11.985,11.0,20.0,2.94
popularity_topic_women_men_diff[19],63.332,46.648,-20.422,110.262,14.541,10.588,13.0,28.0,1.93
popularity_topic_women_men_diff[20],1.034,29.527,-38.519,52.91,9.175,6.68,11.0,20.0,2.58
popularity_topic_women_men_diff[21],46.498,26.464,2.576,83.844,8.235,5.996,11.0,30.0,2.62
popularity_topic_women_men_diff[22],164.932,60.73,78.94,259.384,19.129,13.94,11.0,20.0,3.34
popularity_topic_women_men_diff[23],50.574,23.183,7.075,81.251,6.843,4.967,12.0,20.0,2.01
popularity_topic_women_men_diff[24],55.919,20.329,26.544,81.446,6.196,4.506,12.0,47.0,2.1
popularity_topic_women_men_diff[25],-71.113,39.343,-121.323,-3.684,12.25,8.919,12.0,20.0,2.33
popularity_topic_women_men_diff[26],91.133,21.296,51.106,121.319,6.238,4.526,13.0,61.0,1.87
popularity_topic_women_men_diff[27],65.119,20.893,31.492,101.993,6.241,4.554,12.0,20.0,2.31
popularity_topic_women_men_diff[28],-33.307,21.036,-75.47,-3.359,6.272,4.555,12.0,39.0,2.3
popularity_topic_women_men_diff[29],-14.097,21.96,-52.953,14.607,6.353,4.607,12.0,28.0,2.08
popularity_topic_women_men_diff[30],29.886,27.613,-9.757,65.005,8.56,6.231,13.0,20.0,1.93
popularity_topic_women_men_diff[31],8.2,44.928,-48.667,79.399,13.973,10.173,11.0,20.0,2.43
