Title,UnitId,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] Lennon, Ruth","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Sibia, Naaz (Naaz Sibia)",Annotations
Cybersecurity Competitions,,CYBR4305,Kennesaw_USA,,,SEC,,,,,
Technology and Cyber Crime,,CYBR4700,Kennesaw_USA,,,SEC; 16,,,,,
Virtual IT Systems,,IT4673,Kennesaw_USA,,,OS,,,,,
Business Intelligence Systems,,IT4713,Kennesaw_USA,,,DM; 17,,,,,
